Branch,HEAD_SHA,Commit_Date,Merge_Base_Main,Merge_Base_XDMA_Base,Unique_Commits,Primary_Purpose,Hardware_Evidence,Recommended_Role,Notes
"archive/v41-xdma-pre-v40.1.0-20260817","f3cfa6bf72f3cdcc5688f3a28ff16e80afc5d875","2026-08-14T13:25:01+02:00","be94f88ee8d179f12928ab791bdae27c22cd1762","be94f88ee8d179f12928ab791bdae27c22cd1762",15,"Exact archival ref for the original pre-v40.1 XDMA Phase -1 through Phase 3 line","Old-line Phase 2 endpoint and AXI-Lite identity passed; Phase 3 corrected image was not programmed; DMA operations zero","REFERENCE_ONLY","Exact same commit and tree as v41/xdma; preserved lineage, not an additional donor"
"archive/v42-ready-d3-r4-7707243","770724344ae35fb65f177c04b050f666e70439dc","2026-08-16T00:08:40+02:00","be94f88ee8d179f12928ab791bdae27c22cd1762","67f6513bc11d65b3bdaa6d018df69537020ff5f7",5,"Experimental D3 bounded retry, reset-flop control, and early-NACK handling","Offline simulation only; no XDMA and no qualifying hardware result","SUPERSEDED","Useful as a failed/experimental NVP control-flow record; superseded by R1i"
"archive/v42-ready-d3-r5-01acf49","01acf496b2b920c40f8564b08b9cefd9c7186e5a","2026-08-16T01:30:47+02:00","be94f88ee8d179f12928ab791bdae27c22cd1762","67f6513bc11d65b3bdaa6d018df69537020ff5f7",6,"D3 R5 registered NACK-decision correction on the R4 experiment","Offline simulation only; no XDMA and no qualifying hardware result","SUPERSEDED","Later D3 variant but still superseded by qualified R1i"
"dev/v41-xdma-offline-next","8464af66611f7c22b8a36a4aab915d598eedda3f","2026-08-18T08:20:11+02:00","be94f88ee8d179f12928ab791bdae27c22cd1762","c89e88bcdf389614c884fb129e8b2d42a585bccb",13,"Strict child of the migrated XDMA base; hardens Phase 3 provenance-only preflight","Inherits base Phase 2 endpoint/MMIO evidence; its sole script-only delta is not separately hardware-validated","SECONDARY_TOOLING_DONOR","RTL, XCI, host tools, and XDC are identical to the base; only scripts/v41/phase3_build.tcl changes"
"diag/v41-nvp-address-ack-probe-r1d","1beb70536d8e57305813f377a9e2c0e810b0bfc0","2026-08-22T20:29:44+02:00","be94f88ee8d179f12928ab791bdae27c22cd1762","c89e88bcdf389614c884fb129e8b2d42a585bccb",14,"Post-init NVP address-only ACK probe and observability","Build, route, and simulation passed; hardware run not performed","REFERENCE_ONLY","Diagnostic concepts may inform telemetry; not a product donor"
"diag/v41-nvp-axi-clock-measure-r1","0af44dee3bc091eaff805704dd5c687eeaa01bbd","2026-08-21T12:16:15+02:00","be94f88ee8d179f12928ab791bdae27c22cd1762","c89e88bcdf389614c884fb129e8b2d42a585bccb",13,"AXI/application clock lifecycle measurement instrumentation","Program, MMIO, and free-rate measurement passed; lifecycle conclusion ambiguous; NVP failed; DMA zero","REFERENCE_ONLY","Supports the 62.5 MHz correction but does not qualify NVP or DMA"
"diag/v41-nvp-i2c-25khz-r1","f007dc172d43d30b02729755e60382f8ce3dbff4","2026-08-21T22:42:33+02:00","be94f88ee8d179f12928ab791bdae27c22cd1762","c89e88bcdf389614c884fb129e8b2d42a585bccb",14,"One-line 50 kHz to 25 kHz NVP I2C diagnostic candidate","Later paired campaign was valid but mixed; both arms still failed NVP; DMA zero","SUPERSEDED","25 kHz is preserved in qualified R1i, but this frequency-only candidate is not the qualified mechanism"
"main","be94f88ee8d179f12928ab791bdae27c22cd1762","2026-08-13T00:06:39+02:00","be94f88ee8d179f12928ab791bdae27c22cd1762","be94f88ee8d179f12928ab791bdae27c22cd1762",0,"Frozen v40.0 A35T one-channel PIO baseline","Historical v40 endpoint, NVP/video, and record evidence; no XDMA","REFERENCE_ONLY","Current local workspace branch and HEAD"
"release/v40.1.0-nvp","55ce0df41552bb74e0923f89eff43977b040f2e5","2026-08-16T15:19:15+02:00","be94f88ee8d179f12928ab791bdae27c22cd1762","55ce0df41552bb74e0923f89eff43977b040f2e5",4,"K1-K3 NVP/I2C corrected baseline used for XDMA migration","Qualified v40.1-era NVP and structural evidence; later R1i supersedes NVP behavior","REFERENCE_ONLY","Important migration ancestor; do not overwrite R1i NVP files with this branch"
"v41/xdma","f3cfa6bf72f3cdcc5688f3a28ff16e80afc5d875","2026-08-14T13:25:01+02:00","be94f88ee8d179f12928ab791bdae27c22cd1762","be94f88ee8d179f12928ab791bdae27c22cd1762",15,"Original XDMA Phase -1 through Phase 3 line on v40.0","Endpoint and AXI-Lite identity evidence exists; Phase 3 blocked; DMA operations zero","SUPERSEDED","Exact duplicate of archive/v41-xdma-pre-v40.1.0-20260817; valuable history only"
"v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","2026-08-18T01:00:13+02:00","be94f88ee8d179f12928ab791bdae27c22cd1762","c89e88bcdf389614c884fb129e8b2d42a585bccb",12,"Migrated original XDMA assets onto the v40.1 baseline with routed Phase 1 and hardware Phase 2 acceptance","Gen1 x1 endpoint, pinned driver/nodes, BAR0/BAR1, identity, read-only MMIO, and scratch restore passed; C2H/H2C zero","PRIMARY_XDMA_DONOR_CANDIDATE","Functional source fd32fcb; acceptance commit 9306c25; head is documentation-only after Phase 2"
