Path,Role,Branches_Compared,Clock_Definitions,Timing_Exceptions_and_IO,Domain,Identity_vs_R1i,Reuse_Class,Notes
"xdc/boards/current/xdma_pcie.xdc","ACTIVE in v41 XDMA/R1i builds","v41/xdma; v41/xdma-v40.1.0-base; dev; R1i","100 MHz PCIe reference create_clock, 10.000 ns","IBUF placement and PCIe reset false path","PCIe clock/reset","UNCHANGED","REUSE_AFTER_REVALIDATION","Exact active-set identity; object resolution and placement must be rechecked after integration"
"xdc/boards/current/pins.xdc","ACTIVE","v41/xdma; base; dev; R1i","VDO_CLK 6.734 ns (148.5 MHz)","VDO1 data A14/B14/A15/B15/B16/A17/B17/C18; VCLK E13; LVCMOS33","Video input pins/clock","UNCHANGED","REUSE_AS_IS","Exact pin identity"
"xdc/boards/current/vdo_input_timing.xdc","ACTIVE","v41/xdma; base; dev; R1i","Uses VDO input clock","Input max 6.313 ns, min 2.104 ns; false fall-edge path","Video input timing","UNCHANGED","REUSE_AFTER_REVALIDATION","Empirical timing assumptions and final routed paths require revalidation"
"xdc/boards/current/pcie_pio.xdc","ACTIVE despite legacy name","v41/xdma; base; dev; R1i","PCIe refclock pins D6/D5","PERST C8 pull-up; RX G4/G3; TX B2/B1; GT/PCIe LOC; reset false path","PCIe pins/GT/reset","UNCHANGED","REUSE_AS_IS","Proven endpoint pinout; file name is historical"
"xdc/boards/current/nvp_control.xdc","ACTIVE","v41/xdma; base; dev; R1i","none","R17 reset; T17/T18 control; A9/A10 I2C; MPP V16/V17/U16/U17","NVP control/I2C","UNCHANGED","REUSE_AS_IS","Qualified R1i hardware used the same constraint"
"xdc/common/cdc.xdc","ACTIVE","v41/xdma; base; dev; R1i","No explicit generated clock","Max delay 6 ns; bus skew 3 ns; first synchronizer-stage false paths; gray-bus and reset exceptions","CDC/diagnostics/reset","UNCHANGED","REUSE_AFTER_REVALIDATION","Hierarchy-sensitive get_* queries must resolve after integration"
"xdc/common/configuration_bank.xdc","ACTIVE","v41/xdma; base; dev; R1i","none","Configuration bank VCCO/electrical settings","Configuration bank","UNCHANGED","REUSE_AS_IS","Exact identity"
"xdc/vendor/pcie.xdc","INACTIVE vendor/reference constraint","main and donor trees","Vendor-generated/reference clocks","Vendor PCIe exceptions","Legacy PCIe IP","UNKNOWN","REJECT","Do not add alongside the active v41 set without a fresh ownership review"
"Generated clocks","NOT PRESENT as explicit create_generated_clock in active files","all compared branches","none explicit","N/A","Clocking","UNCHANGED","UNKNOWN","Vivado/IP-generated clocks exist implicitly; absence of explicit generated-clock XDC must be checked in routed timing"
"Multicycle paths","NOT PRESENT in active files","all compared branches","N/A","No set_multicycle_path found","all","UNCHANGED","REUSE_AS_IS","No multicycle exception to carry"
"Output delays","NOT PRESENT for VDO capture path","all compared branches","N/A","No relevant set_output_delay found","video","UNCHANGED","UNKNOWN","Design is input capture; record absence as an audit fact, not an error"
