Consumer,Dependency,Current_Interface,Status,Current_Revision,Compatibility_Risk,Required_Action,Evidence
"FPGA G-track","Qualified NVP/I2C behavior","R1i commit 20c3323d; 25 kHz SCL/ACK/STOP/BUS_FREE/retry/timeout/bank/MMIO contract","FROZEN","1","Any source or timing regression invalidates the qualified PoC baseline","Preserve exact behavior; validate equivalence; obtain Owner decision before baseline change","955ba0cd2462f4dec9dcb086175ab6eca57365bb:v41-nvp-r1i-r2-qualified-poc-hardware-evidence; b5efb25082d7d18c8e022142e2303fd8a7bc3c6d:v41-development-g0-baseline-freeze"
"FPGA G-track","C2H transport architecture","One C2H/card; two private four-record rings; shared formatter; record-boundary round-robin","ACCEPTED","1","Implementation may diverge from accepted scheduling/ownership or exceed resources","Implement only after gate authorization; preserve channel isolation and record boundaries","f1258ba3ad2d6ab29c01260ce70fd23b59d8d4dd:v41-development-g1-integration-architecture"
"FPGA G2B implementation","G2A implementation-input base","ARCHITECTURE_COMPATIBLE: G2B-PRE accepts integration/v41-r1i-gen2-g2a commit 224d194e5f82c85bcb29297561c5d5e76d28063b as its exact implementation input; this does not advance the separately tracked G2A gate from ACTIVE; legacy v40B identity and all behavior through 0x37FF remain protected; this historical input commit is distinct from the accepted exact Recovery-4 offline PRODUCT candidate","FROZEN","8","The accepted implementation input could be mistaken for G2A gate promotion or a G2B data-plane/hardware result","Start future G2B work only from the accepted input commit; preserve legacy/R1i behavior; do not advertise the frozen ABI before it is implemented","e8ab1012d855cfbe68f61a6d0bccd92dc6d6547e:v41-development-g2b-pre-c2h-abi-mmio-freeze; 6843d582fd367fbc0edc0b1d55a9617162c489b0:v41-development-g2b-lut1-signoff-recovery-4; META-8A_TASK_DIRECTIVE"
"FPGA and host implementations","AHD_C2H_TRANSPORT_ABI_V1","ARCHITECTURE_COMPATIBLE: lifecycle FROZEN and semantic status FROZEN_FOR_G2B; version 1; 4096-byte record with 64-byte header, 3840-byte UYVY payload, 192 zero bytes; fixed sequence/epoch/identity/parser rules; exact one-channel PRODUCT implementation OFFLINE_QUALIFIED; hardware NOT_PROVEN","FROZEN","8","Producer/parser divergence would corrupt fixed boundaries, identities, continuity, or frame assembly","Implement and validate the exact Markdown/JSON contract; reject unsupported version or malformed fixed records; never reinterpret padding or reserved fields","e8ab1012d855cfbe68f61a6d0bccd92dc6d6547e:v41-development-g2b-pre-c2h-abi-mmio-freeze; 6843d582fd367fbc0edc0b1d55a9617162c489b0:v41-development-g2b-lut1-signoff-recovery-4; META-8A_TASK_DIRECTIVE"
"G2B-PRE gate","C2H ABI and MMIO architecture freeze","ARCHITECTURE_COMPATIBLE: engineering PASS; AHD_C2H_TRANSPORT_ABI_V1 frozen; AHD_V41_G2B_MMIO_V1 frozen at 0x3800..0x3BFF; support and implemented-this-build capabilities are distinct; no hardware qualification","FROZEN","8","An architecture PASS could be misreported as implemented transport, DMA, Gen2 negotiation, or throughput proof","Preserve frozen contract; exact PRODUCT implementation now accepted separately through G2B-LUT1; hardware NOT_PROVEN","e8ab1012d855cfbe68f61a6d0bccd92dc6d6547e:v41-development-g2b-pre-c2h-abi-mmio-freeze; 6843d582fd367fbc0edc0b1d55a9617162c489b0:v41-development-g2b-lut1-signoff-recovery-4; META-8A_TASK_DIRECTIVE"
"Exact G2B PRODUCT implementation","Frozen G2B transport ABI and MMIO contract","OFFLINE_QUALIFIED_G2B_PRODUCT_CANDIDATE; source 92e9b3d914134c044371779def1ee18eaaeda98a; all Groups 1-17 and final routed/pre-bitstream gates PASS; promoted sign-off methods retained; ABI/MMIO unchanged","ACCEPTED","8","An implementation could violate frozen bytes, ownership, reset-return or release-slot coherency, protected legacy timing, resource policy, or Linux expectations","Preserve exact candidate; next G2B-HW0-PRODUCT under separate authority; no source/XDC change","a70c55eca5f0c0ad349143ad93ab87eb80d11ac4:v41-development-g2b-lut0-resource-attribution; f3a0df6f8c3369e229e5f5d57fef10afd6dfbf62:v41-development-g2b-bs1r-single-sink-bus-skew-retry; 4699632c591238fee46ada3b0de37532fddd0b6f:v41-development-g2b-bs2-alternative-timing-equivalence; 10f1b66ed7c5fbbf02c7a62f3b2e6d053a88e8ae:v41-development-g2b-bs3-ownership-mailbox-settling-proof; 10c7c2898d162af8e2262b3f99861c7d560c4557:v41-development-g2b-g13a-reset-return-signoff-audit; 9e91315968453e859006077191cd5fc711fc6b96:v41-development-g2b-g14a-release-slot0-signoff-audit; fe6dd4aa4d9083ff5b830d71b9b7f2e51505218c:v41-development-g2b-g15-17-release-slot-equivalence-audit; 6843d582fd367fbc0edc0b1d55a9617162c489b0:v41-development-g2b-lut1-signoff-recovery-4; META-8A_TASK_DIRECTIVE"
"R-track","Product baseline isolation and research resumability","Execution state HOLD, not closed; R1i remains the functional product baseline and RESEARCH_DIAGNOSTIC must preserve R2/R3 observability","ACTIVE","3","Research result could be mistaken for product acceptance or PRODUCT reduction could destroy resumability","Keep research evidence and branches unchanged; preserve reproducible RESEARCH_DIAGNOSTIC profile; require explicit later scientific promotion/closure","a70c55eca5f0c0ad349143ad93ab87eb80d11ac4:v41-development-g2b-lut0-resource-attribution; aff7e32edc1cf71bde95b6c19e54e6f307764237:v41-research-r0-r1i-causal-isolation-design"
"PRODUCT profile","Qualified R1i functional behavior","FUNCTIONAL_INTERFACE_COMPATIBILITY=REQUIRED; full physical SCL, ACK sampling, synchronizers, initialization, readiness/recovery, I2C, video and product observability behavior retained","ACCEPTED","8","Removing research instrumentation could accidentally remove functional fanout or product health visibility","Offline R1i functional protection and regression PASS for exact Recovery-4 candidate; keep hardware NOT_PROVEN","a70c55eca5f0c0ad349143ad93ab87eb80d11ac4:v41-development-g2b-lut0-resource-attribution; 6843d582fd367fbc0edc0b1d55a9617162c489b0:v41-development-g2b-lut1-signoff-recovery-4; META-8A_TASK_DIRECTIVE"
"RESEARCH_DIAGNOSTIC profile","PRODUCT profile","FUNCTIONAL_INTERFACE_COMPATIBILITY=REQUIRED; RESOURCE_EQUIVALENCE=NOT_REQUIRED; RESEARCH_OBSERVABILITY_EQUIVALENCE=NOT_REQUIRED because RESEARCH_DIAGNOSTIC intentionally adds observability","PLANNED","3","Profile-specific logic could alter qualified behavior or external semantics, or PRODUCT could become necessary for research reconstruction","Build both reproducibly from one accepted source state; compare qualified behavior and product interfaces; preserve additional R2/R3 observability in RESEARCH_DIAGNOSTIC","a70c55eca5f0c0ad349143ad93ab87eb80d11ac4:v41-development-g2b-lut0-resource-attribution"
"PRODUCT and RESEARCH_DIAGNOSTIC profiles","AHD_C2H_TRANSPORT_ABI_V1","FUNCTIONAL_INTERFACE_COMPATIBILITY=REQUIRED; same frozen ABI identity, bytes, sequencing, reset, ownership, loss and parser semantics wherever G2B is included","FROZEN","3","Profile selection could silently create incompatible producers or capabilities","Use the unchanged ABI in both profiles and run the same golden-vector/parser qualification; resource and research-observability equivalence are not required","e8ab1012d855cfbe68f61a6d0bccd92dc6d6547e:v41-development-g2b-pre-c2h-abi-mmio-freeze; a70c55eca5f0c0ad349143ad93ab87eb80d11ac4:v41-development-g2b-lut0-resource-attribution"
