gate,result,detail
SOURCE_CORRECTION,PASS,host-owned snapshot architecture committed and pushed
INHERITED_SIMULATION,PASS,16/16
R1_SIMULATION,PASS,19/19
POST_OPT_LUT,PASS,19102/20800 91.837 percent; reduction 3204
ROUTING,PASS,fully routed; unrouted 0
ROUTED_TIMING,PASS,WNS 0.109 ns; WHS 0.036 ns
ACTIVE_BUS_SKEW,PASS,11/11; violations 0
PROMOTED_REPLACEMENTS,PASS,17/17
DRC,PASS,errors 0; critical warnings 0
METHODOLOGY,PASS,errors 0; critical warnings 0
CDC_DISPOSITION,FAIL,CDC-1 critical CDC canonical manifest drift: expected=A7FE533FE9165E714D2CB171265D7653E99C8A1F88CD25942B99C036EB3D564D actual=BFD68E3E735133AFFD546985A382CA83F25A744F8B6E4B0B9A5000202968CF99; authority blocker=NVP_DIAG1_R1_DIAGNOSTIC_CDC_MANIFEST_RECONCILIATION_AUTHORITY_REQUIRED
BITSTREAM,NOT_REACHED,write_bitstream count 0
HARDWARE_SCAN,NOT_REACHED,offline eligibility not reached
ENGINEERING,BLOCKED,NVP_DIAG1_R1_DIAGNOSTIC_CDC_MANIFEST_RECONCILIATION_AUTHORITY_REQUIRED
EVIDENCE_PUBLICATION,PENDING_AT_PACKAGE_CREATION,evaluated by out-of-package publication receipt
