Gate,Result,Evidence
OWNER_CONTINUITY,PASS,Owner-attested PROJECT_STATE_REV 8 accepted
PRODUCT_WORKTREE_UNCHANGED,PASS,Clean at 92e9b3d9
R1_SOURCE_COMMIT,PASS,dc04b3954808e5d638636d345115305392ec3288
R1_BRANCH_PUBLICATION,PASS,origin diagnostic branch matches
EXISTING_SIMULATION,PASS,10/10
R1_SIMULATION,PASS,12/12
FUNCTIONAL_NONINTERFERENCE,PASS,byte-identical simulation
SYNTH_CDC,PASS,"0 Critical, 0 Warning unresolved"
FULL_BUILD_TIMING,PASS,WNS +0.178 ns; TNS 0
DRC,PASS,0 errors/critical warnings
BITSTREAM,PASS,02B590D4C6DC391A55C2EF237EA167A7352385C2BF0AD46C4DCCEA8D091684FB
SRAM_PROGRAMMING,PASS,one invocation; DONE 1
WARM_REBOOT,PASS,one
RUNTIME_IDENTITY,PASS,TRACE_MAGIC/TRACE_VERSION/source ready/locked
DRAIN_HELPER_OFFLINE,PASS,8/8
TRACE_CAPTURE,PASS,147 entries; no overflow
TRACE_DOUBLE_READ,PASS,f67bf3c69bf76fce0b652d075e1933993166663c0d8c852d23f120de2dc577f6
TRACE_DISABLE_LATENCY,PASS,4.158 us <= 500 us
PHYSICAL_TRACE_ANALYSIS,PASS,"21 reason-2 events, lines 1080..1100"
CURRENT_PARSER_TRACE_REPLAY,PASS,functionally equivalent symptom
ROOT_CAUSE,PASS,vertical blanking handling
CORRECTION_CANDIDATE,PASS,bf19702beca9bd85e950fa7ee59fd8ed08b1b2dc
CORRECTION_REGRESSION,PASS,captured trace plus full affected regression
PHYSICAL_QUIESCENCE,PASS,5 samples / 400.349 ms
DRAIN_AIO_CLEANUP,BLOCKED,BT656_DIAG1_R1_DRAIN_AIO_CLEANUP_UNRESOLVED:1023
DRIVER_UNLOAD,NOT_RUN,unsafe while AIO/module reference remains
LOCK_RELEASE,NOT_RUN,locks retained for unsafe state
EVIDENCE_PUBLICATION,PASS,sanitized package prepared for commit-pinned read-back
