Gate,Result,FirstFailure,Evidence
OWNER_CONTINUITY,PASS,NO,accepted
DIRECT_SSH,PASS,NO,one direct attempt
FRESH_LOCKS,PASS,NO,controller and Linux held
ROLLING_HOST_TOOL_14,PASS,NO,14/14
DRIVER_AND_NODES,PASS,NO,LOADED_ONCE
SOURCE_READINESS,PASS,NO,NVP ready and locked
ROLLING_DESCRIPTOR_WINDOW,PASS,NO,2532 submitted max 1024
PRIMARY_AIO_CAPTURE,PASS,NO,"2500 exact 10,240,000 bytes"
PHYSICAL_QUIESCENCE,FAIL,YES,R3R4R6R2R3_PHYSICAL_QUIESCENCE_NOT_PROVEN
PRIMARY_RECORD_INTEGRITY,PASS,NO,0 structural failures
PRIMARY_STREAM_CONTINUITY,FAIL,NO,primary overflow at 441
BT656_SOURCE_QUALIFICATION,OPEN,NO,recurring malformed preceding
COMPLETE_FRAME,FAIL,NO,no clean SOF
SHUTDOWN_GUARD,NOT_REACHED,NO,R3R4R6R2R3_GUARD_AIO_CLEANUP_UNRESOLVED
NORMAL_CLEANUP,BLOCKED,NO,retained safe state
EVIDENCE_STAGING,PASS,NO,v41-hardware-g2b-hw0-product-live-path-bringup-r3r4r6r2r3-rolling-4k-window
