case_id,c0_condition,c1_result,c2_result,c3_result,recovery_guard_condition,campaign_classification,primary_interpretation,m1_status,m2_status,m3_status,m4_status,r3_action,validity_action
O1,REPRODUCES,PASS,FAIL,PASS,NONE,VALID_CAUSAL_PATTERN,Physical-SCL-qualified earliest sampling is SUFFICIENT_UNDER_TESTED_CONDITIONS in frozen R1i recovery background; M2-only sufficiency not supported,SUPPORTED_SUFFICIENT_TESTED,NOT_SUPPORTED_AS_SOLE_TESTED_CONFIGURATION,NOT_REQUIRED_BY_PATTERN,CONTROLLED_NOT_ISOLATED,CONSIDER_MARGIN_IF_NEEDED,Retain conditional language; no universal clock-stretch claim
O2,REPRODUCES,FAIL,PASS,PASS,NONE,VALID_CAUSAL_PATTERN,Late internal ACK sample configuration is SUFFICIENT_UNDER_TESTED_CONDITIONS in frozen R1i recovery background; M1-only sufficiency not supported,NOT_SUPPORTED_AS_SOLE_TESTED_CONFIGURATION,SUPPORTED_SUFFICIENT_TESTED,NOT_REQUIRED_BY_PATTERN,CONTROLLED_NOT_ISOLATED,CONSIDER_MARGIN_IF_NEEDED,Confirm C2 had zero guard/timeout/wait-related recovery
O3,REPRODUCES,PASS,PASS,PASS,NONE,VALID_CAUSAL_PATTERN,Either reduced timing configuration independently supplies sufficient tested margin with shared M4; neither M1 nor M2 is necessary within this grid,SUPPORTED_SUFFICIENT_TESTED_NOT_NECESSARY,SUPPORTED_SUFFICIENT_TESTED_NOT_NECESSARY,NOT_SUPPORTED_AS_REQUIRED,CONTROLLED_M4_ONLY_SUFFICIENCY_UNRESOLVED,OPTIONAL_UNLESS_OTHER_TRIGGER,Do not infer separation from C0 is due to timing alone
O4,REPRODUCES,FAIL,FAIL,PASS,NONE,VALID_INTERACTION_PATTERN,Combined M1+M2 timing is required at tested levels; individual sufficiency not supported; timing margin remains unisolated,NECESSARY_WITH_M2_UNDER_TESTED_LEVELS,NECESSARY_WITH_M1_UNDER_TESTED_LEVELS,SUPPORTED_POSITIVE_INTERACTION,CONTROLLED_NOT_ISOLATED,MANDATORY,Proceed to frozen R3 sample-offset sweep
O5,REPRODUCES,PASS,PASS,FAIL,NONE,INVALID_INCONSISTENT,"Exact qualified positive control failed while reduced candidates passed; environment, identity, order, or capture is invalid",INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,DO_NOT_SWEEP_UNTIL_VALID,Stop; verify C3 identity and reproducing recipe
O6,REPRODUCES,PASS,FAIL,FAIL,NONE,INVALID_C3_FAILURE,No causal attribution because C3 is non-clean,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_YET,Stop and resolve positive-control failure
O7,REPRODUCES,FAIL,PASS,FAIL,NONE,INVALID_C3_FAILURE,No causal attribution because C3 is non-clean,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_YET,Stop and resolve positive-control failure
O8,REPRODUCES,FAIL,FAIL,FAIL,NONE,INVALID_C3_FAILURE,No causal attribution; baseline/environment/image validity failed,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NOT_YET,Stop and resolve positive-control failure
O9,C0_PASS_UNEXPECTED,ANY,ANY,ANY,NONE,CONTROL_NOT_REPRODUCED,Failure condition is absent; causal attribution invalid unless one predeclared full-block repeat re-establishes reproduction,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,NO,Repeat block once after identity/recipe verification; repeated C0 PASS stops campaign
O10,REPRODUCES,RECOVERED_OR_MIXED,ANY,PASS,RAW_NACK_RETRY_OR_RECOVERY_NONZERO,INCONCLUSIVE_M4_ACTIVE,Terminal success depended on or coincided with recovery; timing-factor sufficiency cannot be assigned,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,SUPPORTED_AS_ACTIVE_NOT_SUFFICIENT,MANDATORY_OR_SECONDARY_M4,"Classify RECOVERED_PASS, never CLEAN_PASS"
O11,REPRODUCES,ANY,RECOVERED_OR_MIXED,PASS,RAW_NACK_RETRY_OR_RECOVERY_NONZERO,INCONCLUSIVE_M4_ACTIVE,Terminal success depended on or coincided with recovery; timing-factor sufficiency cannot be assigned,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,SUPPORTED_AS_ACTIVE_NOT_SUFFICIENT,MANDATORY_OR_SECONDARY_M4,"Classify RECOVERED_PASS, never CLEAN_PASS"
O12,REPRODUCES,ANY,INCONCLUSIVE,PASS,C2_ENDPOINT_LOW_GUARD_OR_TIMEOUT,INCONCLUSIVE_C2_SAFETY_APPROXIMATION_ACTIVE,C2 did not have a physically legal late sample at its scheduled endpoint; M2 sufficiency test is unavailable,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,ACTIVE,MANDATORY,Do not interpret eventual retry success as C2 PASS
O13,REPRODUCES,VARIABLE,VARIABLE,PASS,NONE_OR_INTERMITTENT,INCONCLUSIVE_VARIABILITY,Pass/fail depends on repetition or order; no binary causal mapping is valid,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,MANDATORY,Analyze block/order/predecessor and timing variability
O14,REPRODUCES,ANY,ANY,PASS,INIT_ERROR_0_BUT_AUTOINIT_NACK_NONZERO,NOT_CLEAN,INIT_ERROR is terminal-only; nonzero qualified/raw autoinit NACK prevents clean timing success,INCONCLUSIVE,INCONCLUSIVE,INCONCLUSIVE,ACTIVE_OR_TERMINAL,REQUIRED_IF_INTERMITTENT,Use NACK/recovery counters over terminal status
O15,REPRODUCES,ANY,ANY,PASS,EARLY_FALSE_NONZERO_ONLY,MECHANISTIC_OBSERVATION,Legacy end-LOW point would have NACKed while selected point ACKed; supports a timing-window observation but does not alone establish causation,SUPPORTED_AS_TIMING_OBSERVATION_ONLY,SUPPORTED_AS_TIMING_OBSERVATION_ONLY,INCONCLUSIVE,CONTROLLED,NO_UNLESS_OTHER_TRIGGER,Keep functional classification based on selected/raw/recovery criteria
