Consumer,Dependency,Current_Interface,Status,Current_Revision,Compatibility_Risk,Required_Action,Evidence
"FPGA G-track","Qualified NVP/I2C behavior","R1i commit 20c3323d; 25 kHz SCL/ACK/STOP/BUS_FREE/retry/timeout/bank/MMIO contract","FROZEN","1","Any source or timing regression invalidates the qualified PoC baseline","Preserve exact behavior; validate equivalence; obtain Owner decision before baseline change","955ba0cd2462f4dec9dcb086175ab6eca57365bb:v41-nvp-r1i-r2-qualified-poc-hardware-evidence; b5efb25082d7d18c8e022142e2303fd8a7bc3c6d:v41-development-g0-baseline-freeze"
"FPGA G-track","C2H transport architecture","One C2H/card; two private four-record rings; shared formatter; record-boundary round-robin","ACCEPTED","1","Implementation may diverge from accepted scheduling/ownership or exceed resources","Implement only after gate authorization; preserve channel isolation and record boundaries","f1258ba3ad2d6ab29c01260ce70fd23b59d8d4dd:v41-development-g1-integration-architecture"
"FPGA G2B implementation","G2A implementation-input base","ARCHITECTURE_COMPATIBLE: G2B-PRE accepts integration/v41-r1i-gen2-g2a commit 224d194e5f82c85bcb29297561c5d5e76d28063b as its exact implementation input; this does not advance the separately tracked G2A gate from ACTIVE; legacy v40B identity and all behavior through 0x37FF remain protected; no G2B C2H or MMIO implementation is present","FROZEN","2","The accepted implementation input could be mistaken for G2A gate promotion or a G2B data-plane/hardware result","Start future G2B work only from the accepted input commit; preserve legacy/R1i behavior; do not advertise the frozen ABI before it is implemented","e8ab1012d855cfbe68f61a6d0bccd92dc6d6547e:v41-development-g2b-pre-c2h-abi-mmio-freeze"
"FPGA and host implementations","AHD_C2H_TRANSPORT_ABI_V1","ARCHITECTURE_COMPATIBLE: lifecycle FROZEN and semantic status FROZEN_FOR_G2B; version 1; 4096-byte record with 64-byte header, 3840-byte UYVY payload, 192 zero bytes; fixed sequence/epoch/identity/parser rules; implementation NOT_IMPLEMENTED and hardware NOT_PROVEN","FROZEN","2","Producer/parser divergence would corrupt fixed boundaries, identities, continuity, or frame assembly","Implement and validate the exact Markdown/JSON contract; reject unsupported version or malformed fixed records; never reinterpret padding or reserved fields","e8ab1012d855cfbe68f61a6d0bccd92dc6d6547e:v41-development-g2b-pre-c2h-abi-mmio-freeze"
"G2B-PRE gate","C2H ABI and MMIO architecture freeze","ARCHITECTURE_COMPATIBLE: engineering PASS; AHD_C2H_TRANSPORT_ABI_V1 frozen; AHD_V41_G2B_MMIO_V1 frozen at 0x3800..0x3BFF; support and implemented-this-build capabilities are distinct; no hardware qualification","FROZEN","2","An architecture PASS could be misreported as implemented transport, DMA, Gen2 negotiation, or throughput proof","Use this package as the only G2B interface input; retain NOT_IMPLEMENTED and NOT_PROVEN until later accepted evidence and META promotion","e8ab1012d855cfbe68f61a6d0bccd92dc6d6547e:v41-development-g2b-pre-c2h-abi-mmio-freeze"
"Future G2B implementation","Frozen G2B transport ABI and MMIO contract","Not offline-qualified; G2B-LUT1 is READY_FOR_SIGNOFF_RECOVERY at G2B-LUT1-SIGNOFF-RECOVERY; Group-9 requires PER_FAMILY_SETTLING_PLUS_STRUCTURAL_CDC and GLOBAL_SET_BUS_SKEW_3NS is RETIRED_FROM_REQUIRED_SIGNOFF; no bitstream or hardware result","BLOCKED","4","An implementation could violate frozen bytes, ownership, reset, protected legacy timing, resource policy, or Linux expectations","Apply G2B_BS3_CANDIDATE_OWNERSHIP_CONSTRAINTS.xdc only under governed source change; complete the promoted Group-9 checks, unchanged Groups 10-17, routed timing, DRC, CDC, clocks/resources, pre-bitstream gate, and only then seek implementation/hardware acceptance","a70c55eca5f0c0ad349143ad93ab87eb80d11ac4:v41-development-g2b-lut0-resource-attribution; f3a0df6f8c3369e229e5f5d57fef10afd6dfbf62:v41-development-g2b-bs1r-single-sink-bus-skew-retry; 4699632c591238fee46ada3b0de37532fddd0b6f:v41-development-g2b-bs2-alternative-timing-equivalence; 10f1b66ed7c5fbbf02c7a62f3b2e6d053a88e8ae:v41-development-g2b-bs3-ownership-mailbox-settling-proof"
"R-track","Product baseline isolation and research resumability","Execution state HOLD, not closed; R1i remains the functional product baseline and RESEARCH_DIAGNOSTIC must preserve R2/R3 observability","ACTIVE","3","Research result could be mistaken for product acceptance or PRODUCT reduction could destroy resumability","Keep research evidence and branches unchanged; preserve reproducible RESEARCH_DIAGNOSTIC profile; require explicit later scientific promotion/closure","a70c55eca5f0c0ad349143ad93ab87eb80d11ac4:v41-development-g2b-lut0-resource-attribution; aff7e32edc1cf71bde95b6c19e54e6f307764237:v41-research-r0-r1i-causal-isolation-design"
"PRODUCT profile","Qualified R1i functional behavior","FUNCTIONAL_INTERFACE_COMPATIBILITY=REQUIRED; full physical SCL, ACK sampling, synchronizers, initialization, readiness/recovery, I2C, video and product observability behavior retained","PLANNED","3","Removing research instrumentation could accidentally remove functional fanout or product health visibility","G2B-LUT1 must prove signal-level functional equivalence and minimum production observability before offline acceptance","a70c55eca5f0c0ad349143ad93ab87eb80d11ac4:v41-development-g2b-lut0-resource-attribution"
"RESEARCH_DIAGNOSTIC profile","PRODUCT profile","FUNCTIONAL_INTERFACE_COMPATIBILITY=REQUIRED; RESOURCE_EQUIVALENCE=NOT_REQUIRED; RESEARCH_OBSERVABILITY_EQUIVALENCE=NOT_REQUIRED because RESEARCH_DIAGNOSTIC intentionally adds observability","PLANNED","3","Profile-specific logic could alter qualified behavior or external semantics, or PRODUCT could become necessary for research reconstruction","Build both reproducibly from one accepted source state; compare qualified behavior and product interfaces; preserve additional R2/R3 observability in RESEARCH_DIAGNOSTIC","a70c55eca5f0c0ad349143ad93ab87eb80d11ac4:v41-development-g2b-lut0-resource-attribution"
"PRODUCT and RESEARCH_DIAGNOSTIC profiles","AHD_C2H_TRANSPORT_ABI_V1","FUNCTIONAL_INTERFACE_COMPATIBILITY=REQUIRED; same frozen ABI identity, bytes, sequencing, reset, ownership, loss and parser semantics wherever G2B is included","FROZEN","3","Profile selection could silently create incompatible producers or capabilities","Use the unchanged ABI in both profiles and run the same golden-vector/parser qualification; resource and research-observability equivalence are not required","e8ab1012d855cfbe68f61a6d0bccd92dc6d6547e:v41-development-g2b-pre-c2h-abi-mmio-freeze; a70c55eca5f0c0ad349143ad93ab87eb80d11ac4:v41-development-g2b-lut0-resource-attribution"
