Path,Git_Branch,Git_Commit,Purpose,Dependencies,Last_Known_Evidence,Reuse_Class,Reuse_Recommendation
"scripts/create_project.tcl","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Create legacy v40 Vivado project","Vivado; legacy PIO IP/source list","Frozen-v40 baseline builds","REFERENCE_ONLY","Use only as the v40 oracle, not as v41 project creation"
"scripts/project_common.tcl","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Shared legacy project settings/source lists","Vivado; repository-relative paths","Frozen-v40 baseline","REFERENCE_ONLY","Consult for inherited project settings"
"scripts/check_project.tcl","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Legacy project structural checks","Vivado project","Frozen-v40 checks","REUSE_AFTER_REVALIDATION","Reuse validation ideas after updating v41 source/IP expectations"
"scripts/build_bitstream.tcl","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Legacy v40 synthesis/implementation/bitstream","Vivado; v40 sources/XDC","Frozen-v40 build evidence","REFERENCE_ONLY","Keep as regression oracle only"
"scripts/verify_timing_and_drc.tcl","v41/xdma-v40.1.0-base","6071e2a070198601f51bc8abecae38d52e2d34b4","Timing and DRC gate","Opened implemented design","Used in historical routed gates","REUSE_AFTER_REVALIDATION","Reuse gate intent with v41/R1i hierarchy"
"scripts/verify_async_input_fanout.tcl","v41/xdma-v40.1.0-base","5bf08d5bc7932537ddd3768dc21cf76a09f42f54","Async input fanout audit","Synthesized/implemented design","Historical structural check","REUSE_AFTER_REVALIDATION","Retain after object-name review"
"scripts/verify_nvp_rst_fanin.tcl","v41/xdma-v40.1.0-base","6071e2a070198601f51bc8abecae38d52e2d34b4","NVP reset-fanin audit","Synthesized/implemented design","Historical NVP audit","REUSE_AFTER_REVALIDATION","Retain as G3 structural regression after R1i integration"
"scripts/verify_source_manifest.ps1","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Verify source hashes","PowerShell; manifest","Migration provenance PASS","REUSE_AS_IS","Reuse for immutable donor/R1i identity checks"
"scripts/update_candidate_manifest.ps1","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Update candidate hashes","PowerShell; write access","Historical publication utility","REFERENCE_ONLY","Do not use in read-only gates; prefer explicit reviewed manifests"
"scripts/v40_1_0_program_sram_once.tcl","release/v40.1.0-nvp","55ce0df41552bb74e0923f89eff43977b040f2e5","Program v40.1 SRAM once","Vivado hardware manager/JTAG","Historical RCA control campaigns","REFERENCE_ONLY","Hardware action; retain only as historical procedure"
"scripts/collect_ubuntu_failure_evidence.sh","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Collect host failure context","Linux shell/tools","Historical host blocker evidence","REUSE_AFTER_REVALIDATION","Useful diagnostic pattern; sanitize host-specific assumptions"
"scripts/compare_marek_nvp.py","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Compare NVP diagnostic data","Python; captured logs","Historical NVP comparisons","REFERENCE_ONLY","Superseded by R1i telemetry tooling"
"scripts/v41/phase_m1_xdma_resource_spike.tcl","v41/xdma","f3cfa6bf72f3cdcc5688f3a28ff16e80afc5d875","Generate/configure XDMA and measure OOC resources","Vivado 2025.2; XDMA catalog","OOC measurement complete; integration not proven","REFERENCE_ONLY","Do not regenerate the qualified donor XCI from this alone"
"scripts/v41/probe_xdma_catalog.tcl","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Probe installed XDMA properties","Vivado IP catalog","Historical environment discovery","REUSE_AFTER_REVALIDATION","Useful read-only preflight in the chosen tool environment"
"scripts/v41/xdma_config_common.tcl","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Set/check minimal XDMA configuration","Vivado XDMA 4.2","Shared with qualified R1i lineage; subset checks only","REUSE_WITH_R1I_INTEGRATION","Use with exact XCI; add review for unchecked effective properties before any regeneration"
"scripts/v41/validate_xdma_minimal_config.tcl","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Validate minimal XDMA property set","Vivado/XCI","Historical Phase -1/0 validation","REUSE_AFTER_REVALIDATION","Retain, but it is not exhaustive"
"scripts/v41/verify_xdma_xci.tcl","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Verify committed XCI identity/configuration","Vivado/XCI","Historical build preflight","REUSE_AFTER_REVALIDATION","Reuse with exact SHA and expanded property audit"
"scripts/v41/phase1a_vdo_timing_build.tcl","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","Integrated VDO timing build","Vivado; donor RTL/IP/XDC","Route/timing/DRC PASS pre-R1i","REUSE_WITH_R1I_INTEGRATION","Reference source order and timing gates; update for R1i"
"scripts/v41/phase1a_postroute_audit.tcl","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","Post-route object/constraint audit","Opened implemented design","Phase 1A PASS","REUSE_AFTER_REVALIDATION","Reuse after checking hierarchy/object queries"
"scripts/v41/phase1b_integrated_xdma_build.tcl","v41/xdma-v40.1.0-base","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","Build integrated XDMA/NVP/control design","Vivado; exact donor tree","Full route/timing/DRC/CDC PASS pre-R1i","REUSE_WITH_R1I_INTEGRATION","Best donor build-order reference; compose with exact R1i sources"
"scripts/v41/phase2_build_bitstream.tcl","v41/xdma-v40.1.0-base","9306c25a48dedd2372bf5d06e37344ae2aa3e85a","Generate Phase 2 hardware image","Vivado; donor sources/XCI/XDC","Endpoint/MMIO hardware PASS","REUSE_WITH_R1I_INTEGRATION","Use only after R1i composition and current tool revalidation"
"scripts/v41/phase3_build.tcl","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Phase 3 build/validation harness","Vivado; donor sources","Corrected offline gates PASS; hardware not run","REUSE_WITH_R1I_INTEGRATION","Base version is evidence-correlated but lacks dev provenance hardening"
"scripts/v41/phase3_build.tcl","dev/v41-xdma-offline-next","8464af66611f7c22b8a36a4aab915d598eedda3f","Phase 3 harness with SHA round-trip/provenance preflight","Vivado; Git/source manifest","No separate hardware run for the 31-line dev delta","REUSE_AFTER_REVALIDATION","Valuable secondary donor; compose intent into the selected harness"
"scripts/v41/report_m1_checkpoint.tcl","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","Report XDMA resource checkpoint","Vivado checkpoint","Historical Phase -1 report","REFERENCE_ONLY","Useful comparison script; no current DCP is committed"
