Gate,Result,Evidence
OWNER_CONTINUITY_ATTESTATION,PASS,accepted without reverification
FRESH_RUN_ROOT,PASS,C:\FPGA\G2B_HW0_PRODUCT_R3R4R6_20260907T174249Z
FRESH_CREDENTIAL_HELPER_MINIMAL_AUDIT,PASS,677727ED53345BAB68B015714AE3638D45A0C553EF3B84E7B9C1909D742EC79A
NATIVE_HELPER_COMPILES,FAIL,non-DUT compiler host TCP/22 timeout
NO_ACTIVE_DMA_SIGNAL_INTERRUPTION,PASS,static source check
C2H_OPEN_FLAGS,PASS,no O_TRUNC or eop_flush
TWO_AIO_REQUESTS_PREQUEUED,PASS,static ordering proof
PREQUEUE_READY_ENABLE_DEPENDENCY,PASS,static controller dependency
METRIC_SPLIT_FIXTURE,PASS,record integrity kept independent
FOCUSED_HOST_TOOL_GATE,FAIL,5/6
DUT_CONNECTION,NOT_REACHED,hard gate stopped access
DRIVER_LOAD,NOT_REACHED,0 attempts
FINITE_PREQUEUED_CAPTURE,NOT_REACHED,no DMA
RECORD_PATH_INTEGRITY,NOT_REACHED,no records
STREAM_CONTINUITY,NOT_REACHED,no records
BT656_SOURCE_QUALIFICATION,NOT_REACHED,no records
HOST_DMA_ACCOUNTING,NOT_REACHED,no transfer
COMPLETE_FRAME,NOT_REACHED,no capture
ENGINEERING_GATE,BLOCKED,R3R4R6_FOCUSED_HOST_TOOL_GATE_FAILED:NATIVE_HELPER_COMPILES_PASS:NON_DUT_OFFLINE_COMPILER_UNREACHABLE
EVIDENCE_PUBLICATION,PENDING,commit-pinned readback pending
