case,reference,candidate,result,evidence_sha256
vhdl_autoinit,R1g_e112,R1h_worktree,PASS_EXACT_TRANSCRIPT,BCF01FA89F1566DCBC876F815AF87193ECDDF6425585A789D64BBFFED3F8393F
vhdl_d2b_sequence,R1g_e112,R1h_worktree,PASS_EXACT_TRANSCRIPT,1A6696A631E372E0CCBFB7B8E953B1D37BBF34C73F5DFB709BBEA70606E84AE8
vhdl_d2b_table_gate,R1g_e112,R1h_worktree,PASS_EXACT_TRANSCRIPT,FE067B4559182ACD1E3BB36A94568B650D2E7B1B396719270A170F6ADC37FDE0
vhdl_power_timing,R1g_e112,R1h_worktree,PASS_EXACT_TRANSCRIPT,AAFBE0F9A8550DF6E03EBF34FBAE3DE8A0D6F5F9456502D336B68FBCC312A127
vhdl_transaction_serial_300,R1g_e112,R1h_worktree,PASS_EXACT_TRANSCRIPT,535F99FD261872E0C3E89157B6064CD6B40C9ED6CAC97A0B0D1825B28DBC2A82
vhdl_production_preinit,R1g_e112,R1h_worktree,PASS_EXACT_TRANSCRIPT,850532A5AF3C9776856253D3A3DF5C2A52CD7322F0D78A54D69D2FE6B928AE7C
probe_strict_cycle_event_pair,R1g_e112,R1h_worktree,PASS,D8440A7A5A5F50764F04D7F21246069B1005F4BDCAC5C9DB783C3FCE7E178BAF
probe_main,R1g_e112,R1h_worktree,PASS_EXACT_CYCLE_MARKER,A49D7F72F6320BE399188A5ACF7BFF71CB7AC3F28007D8ED1F91FFA992AEDE04
probe_abort_restore,R1g_e112,R1h_worktree,PASS_EXACT_CYCLE_MARKER,B911DC1F5A87D6C35865E337B365175FEE8DAAF878186AB122A9CC56532FA4E7
probe_timeout,R1g_e112,R1h_worktree,PASS_EXACT_CYCLE_MARKER,5785680EDE5F3D557D8EB51E1E65838E5CEC1743D2DFA094839F5596814522DC
probe_attempt_limit,R1g_e112,R1h_worktree,PASS_EXACT_CYCLE_MARKER,E1C9F9EDE04227E82C183667C895588F4EB3DD8C82A367F9811CDA86784C0DB2
probe_secondary_restore_failure,R1g_e112,R1h_worktree,PASS_EXACT_CYCLE_MARKER,5C34BA7B0D6A567BB976F0A86CBCA6211997560D01627569A2AE450341037745
probe_index_overflow,R1g_e112,R1h_worktree,PASS_EXACT_CYCLE_MARKER,078718F44AC8ABEA2C0AA30E68115E190C10B60A1EEC4D1321F0834078FA4917
probe_idle_timeout,R1g_e112,R1h_worktree,PASS_EXACT_CYCLE_MARKER,E4F8A4DBDC90A08454828F6F58AAB1757B76511ECBD5A7E113D77B86A73BDE29
probe_production_10000x3,R1g_e112,R1h_worktree,PASS_EXACT_TIMING_TRANSCRIPT,27AC9B4AB2CA92CCFFECFC4FBCA12F6B909525B5DBCC5AC9D92FD574030D5A10
preinit_open_drain_arbitration,R1g_contract,R1h_worktree,PASS,1FD768CCA9F7C45CCC3574B4858A461FBA159BCC4C75B26AE9049DBFB01499F6
probe_store_all_1536,R1g_contract,R1h_worktree,PASS,5251AA1AD0218791F9BB9D04B05BC87273357D6367F4C0419BB8AA94E79254DC
probe_store_same_bank_concurrency,R1g_contract,R1h_worktree,PASS,FB0DE6800028E2B67DD3A2699278C7D4F66E1C3B981A44D38899DF45C26E89D2
failed_record_64x6_and_overflow65,R1g_contract,R1h_worktree,PASS,F294D27395B0FF9B5E9666AE2639861A0DE8BB4DE99A789669845CDF48C01017
failed_record_consecutive_acceptance,R1g_contract,R1h_worktree,PASS,50BEDA2BF68CB94740608C2D2FFE42A866FF8348D6AC848C75A0F31114E8E5C5
