ReferenceOrder,OperationID,Phase,OperationType,Bank,Register,CurrentBaselineClass,CurrentBaselineValue,TargetValue,TargetMask,DifferentialClass,IncludedInMinimum,LaterOverrideOrder,Rationale
1,REF-001,COMMON,BANK_SELECT,UNKNOWN_ENTRY_BANK,0xFF,N/A,N/A,0x00,N/A,NO_OP_AGAINST_CURRENT_BASELINE,NO,,no retained operation depends on this bank selection
2,REF-002,COMMON,WRITE,0x00,0x00,KNOWN_FINAL_VALUE,0x00,0x10,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,211,superseded by a later final write; no separate pulse or re-arm authority
3,REF-003,COMMON,WRITE,0x00,0x22,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,0x0B,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,68,superseded by a later final write; no separate pulse or re-arm authority
4,REF-004,COMMON,WRITE,0x00,0x23,KNOWN_FINAL_VALUE,0x43,0x43,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,4,final whole-byte state already equals the target
5,REF-005,COMMON,WRITE,0x00,0x30,KNOWN_FINAL_VALUE,0x10,0x10,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,123,superseded by a later final write; no separate pulse or re-arm authority
6,REF-006,COMMON,WRITE,0x00,0x34,KNOWN_FINAL_VALUE,0x02,0x02,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,6,final whole-byte state already equals the target
7,REF-007,COMMON,WRITE,0x00,0x93,KNOWN_FINAL_VALUE,0x00,0x00,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,7,final whole-byte state already equals the target
8,REF-008,COMMON,WRITE,0x00,0xA4,KNOWN_FINAL_VALUE,0x00,0x00,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,130,superseded by a later final write; no separate pulse or re-arm authority
9,REF-009,COMMON,BANK_SELECT,0x00,0xFF,N/A,N/A,0x05,N/A,REQUIRED_SEQUENCE_REWRITE,YES,,enters the atomic bank group containing a retained operation
10,REF-010,COMMON,WRITE,0x05,0x00,KNOWN_FINAL_VALUE,0xC0,0xC0,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,NO,56,superseded by a later final write; no separate pulse or re-arm authority
