Asset_ID,Asset,Category,Local_Path,Git_Branch,Git_Commit,Evidence_Path,Last_Known_Result,Hardware_Verified,Current_Relevance,Reuse_Class,Recommended_Source,Conflict_With_R1i,Notes
"A001","Qualified R1i NVP I2C master","NVP/I2C","rtl/nvp/nvp6134c_i2c_bringup.vhd","diag/v41-nvp-r1i-r2-qualified-ack-readiness-poc (current ref absent)","20c3323d79d3896edc586d6db1df7deee60f9e41","v41-nvp-r1i-r2-qualified-poc-hardware-evidence","THESIS_CONFIRMED; zero autoinit NACK; INIT_ERROR=0; video present","YES","G2/G3 baseline","REUSE_AS_IS","Exact R1i commit/tree or verified canonical bundle; public patch/hash as audit reference","N/A","Preserve filtered physical-SCL-high wait, delayed sample, first-NACK STOP, bounded retry/backoff, timeout recovery, bank safety, and telemetry"
"A002","Qualified R1i autoinit sequencer","NVP/I2C","rtl/nvp/nvp6134c_autoinit.vhd","diag/v41-nvp-r1i-r2-qualified-ack-readiness-poc (current ref absent)","20c3323d79d3896edc586d6db1df7deee60f9e41","v41-nvp-r1i-r2-qualified-poc-hardware-evidence","STRONG_PASS paired A1/B1; table behavior retained","YES","G2/G3 baseline","REUSE_AS_IS","Exact R1i blob SHA-256 FCB5F98955F0507C095E774FA9E3048ACD34D07DF5EA40B6B8EEA715B649D5E5","N/A","Donor v40.1 and old-v41 variants are not substitutes"
"A003","Qualified R1i XDMA top integration","Top/PCIe/NVP","rtl/top/ahd_capture_top_xdma.sv","diag/v41-nvp-r1i-r2-qualified-ack-readiness-poc (current ref absent)","20c3323d79d3896edc586d6db1df7deee60f9e41","v41-nvp-r1i-r2-qualified-poc-hardware-evidence","Routed build PASS and R1i hardware STRONG_PASS; DMA still tied off","YES","G2/G3/G4","REUSE_WITH_R1I_INTEGRATION","R1i top is authoritative; add future DMA around it","YES","Preserve 25 kHz R1i setting, qualified telemetry, 0x3600 overlay, clock/reset behavior, and all pre-existing map semantics"
"A004","Qualified R1i control/status register mux","AXI-Lite/MMIO","rtl/v41/control_status_regs.sv","diag/v41-nvp-r1i-r2-qualified-ack-readiness-poc (current ref absent)","20c3323d79d3896edc586d6db1df7deee60f9e41","v41-nvp-r1i-r2-qualified-poc-hardware-evidence","Focused MMIO simulation and hardware telemetry reads PASS","YES","G3/G4","REUSE_AS_IS","Exact R1i blob SHA-256 77B63935A7042D74A11A85C2220715F87CF58EF7B42AF34D8D47BF04A6870A16","YES","Preserve legacy addresses through 0x35ff and compact read-only R1i page 0x3600..0x367f"
"A005","XDMA IP configuration XCI","FPGA IP","ip/v41/xdma_v41_m1.xci","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","docs/v41/phase2 and v41-nvp-r1i-r2-qualified-poc-hardware-evidence","Exact blob used for endpoint/MMIO and R1i hardware; no DMA transfer evidence","YES","G2/G4 and prerequisite for G5","REUSE_AFTER_REVALIDATION","Exact XCI SHA-256 EA651CA26A2FE4AA5201A5E88BA41D9BD737A3BF19D58AA89394D1CB8C1B0A7C","NO","XDMA 4.2 rev2; Gen1 x1; 64-bit stream; 1 C2H; mandatory 1 H2C; AXI-Lite 128 KiB; one IRQ; exact XCI safer than regeneration"
"A006","XDMA property/configuration Tcl","FPGA IP tooling","scripts/v41/xdma_config_common.tcl","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","docs/v41/phase_m1 and docs/v41/phase1","Fresh-XCI/property checks PASS","NO","G2","REUSE_AFTER_REVALIDATION","Base/dev identical Tcl SHA-256 3A76FC7893B2188871B340E326B53C7EE39B93C19EF416EAD2611CA9FDA9CDC7","NO","Does not explicitly pin every effective property, including 62.5 MHz, dedicated PERST, and MSI details"
"A007","PCIe physical XDMA endpoint integration","PCIe/top","rtl/top/ahd_capture_top_xdma.sv; ip/v41/xdma_v41_m1.xci; active XDC","qualified R1i source state","20c3323d79d3896edc586d6db1df7deee60f9e41","v41-nvp-r1i-r2-qualified-poc-hardware-evidence","10ee:7011 endpoint, 2.5 GT/s x1, DONE, driver, and BARs PASS","YES","G4","REUSE_WITH_R1I_INTEGRATION","Qualified R1i tree with exact donor XCI/XDC identities","YES","Do not replace R1i top with the pre-R1i donor top"
"A008","AXI-Lite host bridge","AXI-Lite/MMIO","rtl/v41/axi_lite_host_bridge.sv","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","docs/v41/phase1/PHASE1B_REPORT.md and docs/v41/phase2","Self-checking XSim PASS; hardware identity/scratch path PASS","YES","G4","REUSE_AFTER_REVALIDATION","Base/dev/R1i inherited bridge","NO","Independent AW/W pairing, one outstanding transaction; regress with the selected R1i tree"
"A009","BAR and user-aperture map","PCIe/MMIO","ip/v41/xdma_v41_m1.xci; rtl/v41/control_status_regs.sv","qualified R1i source state","20c3323d79d3896edc586d6db1df7deee60f9e41","v41-nvp-r1i-r2-qualified-poc-hardware-evidence","BAR0 user 128 KiB and BAR1 config 64 KiB observed; R1i pages read successfully","YES","G4","REUSE_AS_IS","Qualified R1i map plus exact XCI","NO","Phase-0 prose claiming a 256 KiB config BAR is superseded by observed 64 KiB BAR1"
"A010","C2H channel 0 IP interface","DMA","rtl/top/ahd_capture_top_xdma.sv","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","docs/v41/phase0/V41_AXI_STREAM_CONTRACT.md","IP port exists but tdata/tkeep/tlast/tvalid are tied to zero; zero operations","NO","G5","REFERENCE_ONLY","XDMA C2H port contract; new application RTL required","NO","A port is not a DMA data path; no 512-beat packet has been produced"
"A011","H2C channel 0 safe termination","DMA","rtl/top/ahd_capture_top_xdma.sv","v41/xdma-v40.1.0-base","c89e88bcdf389614c884fb129e8b2d42a585bccb","docs/v41/phase0/V41_ARCHITECTURE_LOCK.md","One tool-mandated engine/node; application tready=0; zero H2C operations","NO","G4 safety boundary","REUSE_AS_IS","Qualified R1i top termination","NO","Structurally tied off and build-correlated only; no H2C transaction occurred, H2C is unsupported, and there is no consumer"
"A012","Video-to-C2H record adapter","DMA bridge","NOT_PRESENT","NONE","NONE","NONE","NOT_IMPLEMENTED","NO","G5/G6","UNKNOWN","NONE","NO","Must provide record ownership, CDC/readout, 512x64-bit framing, TLAST/TKEEP, backpressure, and error telemetry"
"A013","Legacy record-slot buffering","FIFO/buffering","rtl/pio/pio_bar_target.sv; rtl/record; rtl/video/video_capture.sv","qualified R1i ancestry","20c3323d79d3896edc586d6db1df7deee60f9e41","v40 freeze evidence and R1i hardware evidence","Record production/video proven; configured two 4 KiB slots; no DMA readout","YES","G3; possible G5/G6 storage donor","REUSE_AFTER_REVALIDATION","Qualified R1i record subsystem","UNKNOWN","Two record slots are not two video channels and do not implement a DMA FIFO"
