gate,result,evidence
DOC0 owner decision,PASS,commit-pinned readback
META-9 endpoint update,PASS,18/18 rev9 manifest
Source authority,PASS,09cd7cbb426027acaefd0cf3989579b80a451f3a
Inherited tests,PASS,SCAN1 24/24; ACQ 20/20; observability 32/32
Resource recovery tests,NOT_COMPLETE,22 PASS; R21/R23 NOT_REACHED
Narrow RAM inference,PASS,one telemetry RAMB36E1
Post-opt resource,PASS,20186/20384 LUT
Routing,PASS,38667/38667 routable nets
Detailed timing,PASS,WNS +0.047; WHS +0.036; unconstrained 0
Bus-skew,PASS,11/11
Promoted replacements,PASS,17/17
CDC/DRC/methodology hard gates,PASS,warnings retained
Routed resource,PASS,19738/20384 LUT
Signed-DCP reopen,FAIL,SIGNED_DCP_REOPEN_XDC_CANONICAL_IDENTITY_FAILED_BEFORE_BITSTREAM
Bitstream,NOT_REACHED,no bitstream generated
Local closed bundle,PASS,33 files
DUT bundle/program/runtime,NOT_REACHED,SIGNED_DCP_REOPEN_XDC_CANONICAL_IDENTITY_FAILED_BEFORE_BITSTREAM
Control and 1000-scan campaign,NOT_REACHED,SIGNED_DCP_REOPEN_XDC_CANONICAL_IDENTITY_FAILED_BEFORE_BITSTREAM
Hardware cleanup,NOT_APPLICABLE,no DUT access
