gate,result,evidence
PROJECT_STATE_REV_8,PASS,8
PREDECESSOR_AUTHORITY,PASS,R3R3 through R3R4R4
IMMUTABLE_BOUNDARY,PASS,0 new/removed/changed
AUTHORIZED_TOOL_DELTA,PASS,QUIESCENCE_FIXTURE_1_400_TO_1_401_PLUS_RUN_IDENTITY_ONLY
OFFLINE_SELFTESTS,PASS,16/16
CAPTURE_TOOL_ARCHITECTURE,PASS,independent audit
CREDENTIAL_HELPER,PASS,8988139C2F2CFFC4F5F04A6BB1A61314AAF4A5779B2021709BF35A9A625F5F84
DUT_EXCLUSIVITY,PASS,parallel HDMI none
CANDIDATE_CONTINUITY,PASS,recovery not required
DRIVER_LOAD_AND_BIND,PASS,one attempt
NODE_TO_BDF,PASS,0000:01:00.0
RUNTIME_IDENTITY_AND_SOURCE,PASS,input 0 live
RESET_EPOCH_NORMALIZATION,PASS,2 to 3; W1C 0x07
FIRST_RECORD,FAIL,R3R4R5_FIRST_RECORD_ABI_VALIDATION_FAILED:DISCONTINUITY flag is set;MALFORMED_PRECEDING flag is set
FINITE_2500_CAPTURE,FAIL,100/2500; trailing 3584
COUNTER_RECONCILIATION,FAIL,session stopped early
FRAME_RECONSTRUCTION,NOT_REACHED,insufficient valid records
PCIE_AER_KERNEL_HEALTH,PASS,no new fault
CLEANUP,PASS,normal unload and automatic unbind
ENGINEERING_GATE,FAIL,R3R4R5_FIRST_RECORD_ABI_VALIDATION_FAILED:DISCONTINUITY flag is set;MALFORMED_PRECEDING flag is set
EVIDENCE_PUBLICATION,PENDING,commit-pinned readback pending
