gate,result,actual,requirement,evidence_or_note
SOURCE_IDENTITY,PASS,C3_70266f0b90c6fc6a853495eba1d526b285fd7286,C3_exact_commit_tree_40_inputs,INPUT_PROVENANCE_AND_RECIPE_DIFF.md
SOURCE_REVISION_BUDGET,PASS,0_new_and_4/4_historical,0_new,IMPLEMENTATION_LEDGER.csv
IMPLEMENTATION_BUDGET,PASS,1/1,at_most_1/1,IMPLEMENTATION_LEDGER.csv
POST_OPT_RESOURCE,OWNER_EXCEPTION_C3_POST_OPT,20456_whole_design_Slice_LUT,20384_normal_or_C3_owner_exception_to_20456,OWNER_POSTOPT_EXCEPTION.md
FINAL_RESOURCE,PASS,19995_whole_design_Slice_LUT_headroom_389,at_most_20384,build/candidate3/ROUTED_UTILIZATION.rpt
PLACEMENT_ROUTING,PASS,39115_of_39115_fully_routed_0_errors,all_required_nets_routed,build/candidate3/ROUTE_STATUS.rpt
TIMING,PASS,WNS_0.102_TNS_0.000_WHS_0.031_THS_0.000_WPWS_0.000_TPWS_0.000,nonnegative_slacks_zero_negative_sum_no_new_unconstrained,signoff/as-open-collector/report_timing_summary.rpt
DRC_HARD,PASS,0_errors_0_critical_24_ordinary_warnings,0_unresolved_errors_or_critical,signoff/current-route-checks/DRC_RECEIPT.txt
METHODOLOGY_HARD,PASS,0_errors_0_critical_18_ordinary_warnings,0_unresolved_errors_or_critical,signoff/methodology-timing/TARGETED_RECEIPT.txt
CDC_CURRENT,PASS,1337_rows_427_critical_874_warning_36_info_all_semantically_dispositioned,no_unresolved_current_CDC_rows,signoff/CDC_CURRENT_GATE.json
BUS_SKEW,PASS,11_of_11_full_XDC_restored,11_exact_current_route_groups,signoff/bus-skew/BUS_SKEW.rpt
PROMOTED_CHECKS,PASS,17_of_17_including_Group13_2_of_2,all_17_current_route_checks,signoff/current-route-checks/G2B_FIX1_R1_PROMOTED_REPLACEMENT_RESULTS.csv
SIGNED_DCP_REOPEN,PASS,63219896_bytes_A99EDFE4DF21A3607EC1C31464AD4A03EC6717FCBABBC2979FDA4DFF48E188A5,same_view_clock_netlist_route_XDC_and_report_bodies,signoff/SIGNED_REOPEN_COMPARISON.json
BITGEN,PASS,2192144_bytes_8B6402C776AAF6B2D6E0F4453479B75462516AB79A9FE534257CD5339B95A51B,one_full_bitstream_after_all_signoff,firmware/BITGEN_RECEIPT.txt
BIT_HEADER,PASS,top_ahd_capture_top_xdma_part_header_7a35tcsg325_payload_2192012,actual_header_and_exact_payload_length,firmware/BIT_HEADER_RECEIPT.json
C3_HOST_BUNDLE,PASS,7_of_7_byte_identical_contract_7F2A9647EF60D360B9884E57F6FAE16BCAFC4DD8F60D592CE0A44D728FA67D39,no_C4_substitution_no_device_open,HOST_BUNDLE_MANIFEST.json
PRIVATE_ZIP,PASS,11_members_665665_bytes_4D7C1A13504ACD2C2D42F54CFF473F94B409F247E344193568C3732B487BC995,bit_manifest_host_erratum_handoff_exact_readback,firmware/PRIVATE_ZIP_RECEIPT.json
NEW_RTL_SIMULATION,NOT_RUN_OWNER_REQUESTED_SPEEDUP,XSIM_NEW_RUNS_0,owner_requested_no_new_simulation,C3_PNR1_REPORT.md
HARDWARE_QUALIFICATION,NOT_RUN,DUT_contact_NONE_programming_0_scans_0_frames_0,no_DUT_action_authorized,W4_HANDOFF.md
EVIDENCE_PUBLICATION,PENDING_COMMIT_PINNED_READBACK,not_yet_pushed,nonforce_push_and_independent_remote_byte_readback,local_post_push_receipt_to_follow
