Rule,Severity,Clock_Pair,Exception,Source,Destination,Classification,Semantic_Family,Result,Evidence,Change
CDC-9,Info,input port clock->clk_125mhz_mux_x0y0,False Path,sys_rst_n,XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/reset_n_reg1_reg/CLR,ASYNC_ASSERT_SYNC_RELEASE_RESET,RESET_SYNCHRONIZER,PASS,Exact unchanged reset row with depth 2 ASYNC_REG; vendor/reset synchronizer chain,EXACT_PRIOR_ROW
CDC-9,Info,input port clock->clk_250mhz_mux_x0y0,False Path,sys_rst_n,XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/reset_n_reg1_reg/CLR,ASYNC_ASSERT_SYNC_RELEASE_RESET,RESET_SYNCHRONIZER,PASS,Exact unchanged reset row with depth 2 ASYNC_REG; vendor/reset synchronizer chain,EXACT_PRIOR_ROW
CDC-13,Critical,clk_125mhz_mux_x0y0->clk_250mhz_x0y0,False Path,XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_sel_reg/C,XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_i1_bufgctrl.pclk_i1/S1,FALSE_POSITIVE_WITH_PROOF,XDMA_PIPE_CLOCK_MUX,PASS,Exact unchanged rows; generated PCIe XDC hash DD00E1DA... supplies S0/S1 false paths and physical clock exclusivity,EXACT_PRIOR_ROW
CDC-13,Critical,clk_250mhz_mux_x0y0->clk_250mhz_x0y0,False Path,XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_sel_reg/C,XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/pclk_i1_bufgctrl.pclk_i1/S1,FALSE_POSITIVE_WITH_PROOF,XDMA_PIPE_CLOCK_MUX,PASS,Exact unchanged rows; generated PCIe XDC hash DD00E1DA... supplies S0/S1 false paths and physical clock exclusivity,EXACT_PRIOR_ROW
CDC-6,Warning,userclk1->nvp_vclk1,False Path,CAPTURE_SUBSYSTEM/BAR_TARGET/release_toggle_pcie_reg[1:0]/C,CAPTURE_SUBSYSTEM/BAR_TARGET/release_sync1_reg[1:0]/D,TOGGLE_HANDSHAKE,MULTIBIT_CDC,PASS,Unchanged exact CDC-6 row; independent per-slot toggle bits are synchronized independently and consumed by per-slot state,EXACT_PRIOR_ROW
CDC-3,Info,userclk1->nvp_vclk1,False Path,CAPTURE_SUBSYSTEM/MAILBOX/cfg_request_toggle_pcie_reg/C,CAPTURE_SUBSYSTEM/MAILBOX/cfg_req_sync1_nvp_reg/D,INTENTIONAL_TWO_STAGE_SYNCHRONIZER,LEVEL_SYNCHRONIZER,PASS,Exact unchanged report row; ASYNC_REG depth 2. CDC-10 source_ready/fatal level is held through handshake; four exact chain-cell attributes verified in continuation.,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[1]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_abort_reg/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[0]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_arm_reg/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[42]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[0]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
CDC-15,Warning,userclk1->nvp_vclk1,Max Delay Datapath Only,CAPTURE_SUBSYSTEM/MAILBOX/cfg_hold_pcie_reg[43]/C,CAPTURE_SUBSYSTEM/MAILBOX/nvp_cfg_capture_generation_reg[1]/D,STABLE_DATA_WITH_SYNCHRONIZED_QUALIFIER,CONFIG_MAILBOX,PASS,Group 1 preserved routed skew; capture_mailbox acknowledged hold/capture protocol,EXACT_PRIOR_ROW
