SessionID,SessionObservationResult,CaptureResult,CapturePass,CaptureBytes,CaptureRecords,FirmwareAdvanceAck,FirmwareResponseRaw
1,PASS_CAPTURE_COMPLETED,PASS,True,10240000,2500,PASS_AND_QUIESCENT,0x00010009
2,PASS_NO_BT656_CAPTURE_NOT_RUN,NOT_RUN,False,0,0,PASS_AND_QUIESCENT,0x00020009
3,PASS_CAPTURE_COMPLETED,PASS,True,10240000,2500,PASS_AND_QUIESCENT,0x00030009
4,PASS_NO_BT656_CAPTURE_NOT_RUN,NOT_RUN,False,0,0,PASS_AND_QUIESCENT,0x00040009
5,PASS_NO_BT656_CAPTURE_NOT_RUN,NOT_RUN,False,0,0,PASS_AND_QUIESCENT,0x00050009
6,PASS_CAPTURE_COMPLETED,PASS,True,10240000,2500,PASS_AND_QUIESCENT,0x00060009
7,PASS_NO_BT656_CAPTURE_NOT_RUN,NOT_RUN,False,0,0,PASS_AND_QUIESCENT,0x00070009
8,PASS_CAPTURE_COMPLETED,PASS,True,10240000,2500,PASS_AND_QUIESCENT,0x00080009
9,PASS_NO_BT656_CAPTURE_NOT_RUN,NOT_RUN,False,0,0,PASS_AND_QUIESCENT,0x00090009
10,PASS_CAPTURE_COMPLETED,PASS,True,10240000,2500,PASS_AND_QUIESCENT,0x000A0009
11,PASS_NO_BT656_CAPTURE_NOT_RUN,NOT_RUN,False,0,0,PASS_AND_QUIESCENT,0x000B0009
12,PASS_CAPTURE_COMPLETED,PASS,True,10240000,2500,PASS_AND_QUIESCENT,0x000C0009
13,PASS_CAPTURE_COMPLETED,PASS,True,10240000,2500,PASS_AND_QUIESCENT,0x000D0009
14,PASS_NO_BT656_CAPTURE_NOT_RUN,NOT_RUN,False,0,0,PASS_AND_QUIESCENT,0x000E0009
15,PASS_CAPTURE_COMPLETED,PASS,True,10240000,2500,PASS_AND_QUIESCENT,0x000F0009
16,PASS_NO_BT656_CAPTURE_NOT_RUN,NOT_RUN,False,0,0,PASS_AND_QUIESCENT,0x00100009
