gate,description,result,note
G0,authority at start,PASS,PROJECT_STATE_REV_AT_START_8
G0A,credential secrecy,PASS,NO_SECRET_REMAINS_OR_ENTERED_EVIDENCE
PRE_T1_GOVERNANCE,artifact directory boundary,FAIL,PRIOR_IMMUTABLE_ARTIFACT_BOUNDARY_VIOLATION
T0_TECHNICAL_COMPONENT,technical identity exclusivity JTAG PCIe freshness,PASS,TECHNICAL_T0_PASS
T0_GOVERNED,authority exclusivity and execution-envelope gate,FAIL,PRIOR_IMMUTABLE_ARTIFACT_BOUNDARY_VIOLATION
T1,exact driver bind and nodes,NOT_REACHED,HARD_STOP_BEFORE_INSMOD
T2,runtime MMIO source snapshot,NOT_REACHED,T1_NOT_RUN
T3,first C2H record,NOT_REACHED,T2_NOT_RUN
T4,finite capture and frame,NOT_REACHED,T3_NOT_RUN
T5,continuous capture,NOT_REACHED,T4_NOT_RUN
CLEANUP,controlled shared state,PASS,CLEAN_PRELOAD_STATE_LOCKS_RELEASED
PUBLICATION,commit push readback,PENDING,CONTROLLER_STAGING_ONLY
ENGINEERING,R3 overall,FAIL,PRIOR_IMMUTABLE_ARTIFACT_BOUNDARY_VIOLATION
