gate,result,evidence_or_reason
authority_execution_groups,PASS,"82 entries, 10 groups, 105 clean transactions"
preregistration,PASS,18CDD7FBC67ABDB799475CE509BC686C3A2CD0E7153BC4E44910ABC809B5DF8C
inherited_SCAN1,PASS,24/24
inherited_ACQ,PASS,20/20
offline_observability,PASS,32/32
parent_candidate_nontelemetry,PASS,"2862 cycles, 547 accepted commands"
synthesis,PASS,"0 errors, 0 critical warnings"
exact_profile,PASS,"SCAN1=1, wrapper=1, executor=1"
opt_design,PASS,one fresh pass
post_opt_resource,FAIL,RESOURCE_HEADROOM_GATE_POST_OPT: LUT_USED_GT_20384 (21446/20800 LUT)
place_route_timing_CDC_DRC,NOT_REACHED,RESOURCE_HEADROOM_GATE_POST_OPT: LUT_USED_GT_20384 (21446/20800 LUT)
bitstream,NOT_REACHED,RESOURCE_HEADROOM_GATE_POST_OPT: LUT_USED_GT_20384 (21446/20800 LUT)
local_DUT_bundle,NOT_REACHED,RESOURCE_HEADROOM_GATE_POST_OPT: LUT_USED_GT_20384 (21446/20800 LUT)
hardware_1000_scan,NOT_REACHED,RESOURCE_HEADROOM_GATE_POST_OPT: LUT_USED_GT_20384 (21446/20800 LUT)
hardware_cleanup,NOT_APPLICABLE,No DUT contact
