gate,status,evidence,scope
owner_generation_authorization,PASS,Owner statement received 2026-09-16,Offline bitstream only
project_state_revision_9,PASS,Local and remote main 9be3c9f; SSOT 18 of 18 hashes,No SSOT edit
accepted_cont1r3r2_closure,PASS,DCP_CLOSURE_RECEIPT at 9be3c9f; package 23 of 23 manifested hashes,Inherited sign-off
frozen_source_commit_tree,PASS,09cd7cbb commit; c6be008d tree; clean worktree,No source change
original_and_copied_dcp,PASS,17469233 bytes; C09145B1 SHA-256 before and after,Exact signed-off DCP
vivado_tool_identity,PASS,2025.2 SW build 6299465,Existing installed tool
opened_part_top,PASS,xc7a35tcsg325-2; ahd_capture_top_xdma,Opened unchanged DCP
fresh_route_status,PASS,38667 of 38667 fully routed; 0 route errors,Read-only check
fresh_default_drc,PASS,0 errors; 0 critical; 24 accepted ordinary warnings,Read-only check
mandatory_bitstream_drc,PASS,write_bitstream precondition 0 errors,One invocation
write_bitstream,PASS,Bitgen Completed Successfully; process exit 0,Full .bit no partial options
bitstream_container,PASS,2192012 declared and actual payload bytes; aligned sync,Read-only integrity check
firmware_two_read_sha256,PASS,CD80C84E17467BCB03DEE58DC7FF64D50FD2CB6E5C409E21F871C3E05052BA09,2192144-byte private file
source_dcp_settings_preserved,PASS,Post-run DCP hashes unchanged; source clean; no settings write,No implementation run
hardware_qualification,NOT_RUN,No DUT connection or programming,Separate future task
first_camera_frame,NOT_ACQUIRED,No camera or capture operation,Separate future task
warm_reboot_continuity,UNKNOWN_NOT_SURVEYED,Owner reported possible warm reboot only,Future boot-scoped survey
