gate,result,evidence
same_routed_dcp,PASS,"62555747 bytes; F589B7C6151EC2EAB576B358837D0A331B02D69A11DF30F5BCF5910416EEBA64 before and after"
source_identity,PASS,"commit b2f80cf4fda1775ab34804a246cb7be61e0ecd62; tree fd19d5e27923f69d16d2d8679db85d7813124c37; unchanged"
raw_export_identity,DIFFERENT_EXPECTED,"three distinct raw hashes caused only by generated output path metadata"
ordered_xdc_payload,PASS,"161 ordered payload lines; SHA-256 64EB95F3F938C4803A83B818291FB3CA42BF4974C50CC20FB3FD7A53AF15BF9D"
comparator_selftest,PASS,"7/7; real pair accepted and six negative mutations rejected"
route,PASS_REUSED_EXACT_DCP,"38612/38612 routable nets; zero route errors"
local_cdc,UNRESOLVED,"reserve observed valid timing paths=6 and data timing paths=5, then redundant name intersection failed"
final_timing,NOT_RUN,"reserve stopped before call"
pulse_width,NOT_RUN,"reserve stopped before call"
constraint_coverage,NOT_RUN,"reserve stopped before call"
final_drc,NOT_RUN,"reserve stopped before call"
mandatory_bitgen_drc,NOT_RUN,"write_bitstream not called"
bus_skew,PASS_REUSED_EXACT_R2R8_DESIGN,"11/11; minimum slack +1.119 ns; new calls 0"
resources,PASS_REUSED_EXACT_R2R8_DESIGN,"19695 LUT; 21559 FF; 28.5 BRAM tile; LUT margin 689"
prepare_only_scoped_admission,BLOCKED,"missing final timing, DRC, and resolved local CDC receipt"
bitstream,NONE,"write_bitstream calls 0"
hardware,NOT_RUN,"DUT untouched"
publication,PENDING,"set by external commit/readback receipt"
