Gate,Result,Reason
OWNER_AUTHORIZATION,BLOCKED,"Mandatory legacy MMIO reads are outside granted 0x3800..0x3BFF access"
SSOT_REV8,PASS,"Revision and 18-entry manifest verified"
META_8A,PASS,"Commit and 32-entry manifest verified"
RECOVERY_4,PASS,"Commit required files and 181-entry manifest verified"
BITSTREAM_IDENTITY,PASS,"Size and SHA-256 exact"
DCP_IDENTITY,PASS,"Size and SHA-256 exact"
SOURCE_IDENTITY,PASS,"Branch commit tree remote and clean state exact"
DUT_EXCLUSIVITY,BLOCKED,"Fresh Linux and JTAG inventories not reached"
JTAG_PCIE_CORRELATION,BLOCKED,"Not reached before authorization hard stop"
T0,BLOCKED,"ADDITIONAL_HARDWARE_AUTHORIZATION_REQUIRED"
T1,NOT_REACHED,"No SRAM programming"
ENDPOINT_RECOVERY,NOT_REACHED,"No programming"
PCIE_GEN2_X1,NOT_REACHED,"No fresh endpoint inventory"
XDMA_MAPPING,NOT_REACHED,"No fresh sysfs or device-node mapping"
T2,NOT_REACHED,"Runtime MMIO access not authorized"
T3,NOT_REACHED,"T0 blocked"
T4,NOT_REACHED,"T0 blocked"
FRAME_RECONSTRUCTION,NOT_REACHED,"No records captured"
T5,NOT_REACHED,"T0 blocked"
THROUGHPUT_288_MB_S,NOT_PROVEN,"Explicit scope boundary"
FOUR_INPUT_SELECTION,NOT_QUALIFIED,"Outside scope"
TWO_CHANNEL_CAPTURE,NOT_QUALIFIED,"Outside scope"
V4L2,NOT_TESTED,"Outside scope"
RELEASE_V41_0_0,NOT_CREATED,"Outside authority"
FINAL_HARDWARE_STATE,PASS,"No hardware or persistent state changed"
