Gate,Result,Blocker
Closed local runtime bundle,PASS,
Unresolved local imports,PASS_0,
Negative missing-abi_v1 test,PASS_EXPECTED_FAILURE,
DUT file/hash verification,PASS_25_OF_25,
DUT module provenance,PASS_0_VIOLATIONS,
DUT compile/import gate,PASS,
DUT entrypoint execution,PASS_12_OF_12,
Driver load,PASS,
Runtime identity,PASS,
MMIO sanity,PASS,
Double-PREPARE,PASS_26_26,
Coherent snapshots,PASS_16_OF_16,
Route readbacks,PASS_16_OF_16,
BGDCOL rounds,PASS_4_OF_4,
Availability classifications,PASS_16_OF_16,
Firmware acknowledgements,PASS_16_OF_16,
No-capture safety,PASS_8_OF_8,
Attempted captures,PASS_8_OF_8,
Runtime validator,PASS_8_OF_8,
Active-frame integrity,PASS_8_OF_8,
Bounded route-specific VBI,PASS_8_OF_8,
Complete frame reconstruction,PASS_8_OF_8,
Pixel analysis,PASS_8_OF_8,
Multi-channel multi-color path,PASS_CH1_CH3,
PRODUCT baseline restore,PASS,
Driver unload and node removal,PASS,
Locks released,PASS,
Public-payload exclusions,PASS,
