Path,Title,Date_if_Available,Git_Branch,Git_Commit,Topic,Project_Phase,Status,Correlated_Assessment
"README.md","FPGA_AHD README","2026-08-13","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Frozen v40 project overview","v40 baseline","HISTORICAL","Useful repository entry point; not an XDMA or R1i authority"
"PROJECT_CHANGELOG.md","Project changelog","2026-08-13","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Historical project changes","v40 baseline","HISTORICAL","Chronology aid only"
"A35T_R17_CANDIDATE_DIFF.md","A35T R17 candidate diff","UNKNOWN","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Accepted pre-v41 candidate","v40 freeze","HISTORICAL","Baseline provenance; predates v40.1 and R1i"
"CANDIDATE_README.md","Candidate README","UNKNOWN","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Candidate use","v40 freeze","HISTORICAL","Not a v41 donor decision record"
"CLEAN_R4_BASELINE_SHA256SUMS.txt","Clean R4 baseline hashes","UNKNOWN","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Source identity","v40 freeze","HISTORICAL","Hash evidence for old baseline"
"SHA256SUMS.txt","Repository hash manifest","UNKNOWN","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Source identity","v40 freeze","HISTORICAL","Hash evidence for old baseline"
"docs/ARCHITECTURE.md","Architecture","UNKNOWN","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Legacy capture architecture","v40 baseline","SUPERSEDED","Contains stale target-device language relative to later A35T freeze; validate every claim"
"docs/BUILD_PROFILES.md","Build profiles","UNKNOWN","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Build modes","v40 baseline","SUPERSEDED","Legacy target/profile descriptions are not the v41 XDMA procedure"
"docs/CANDIDATE_R17_ACCEPTED_SHA256SUMS.txt","Accepted R17 hashes","UNKNOWN","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Source identity","v40 freeze","HISTORICAL","Reference hash set"
"docs/FREEZE_NOTES.md","Freeze notes","UNKNOWN","main","be94f88ee8d179f12928ab791bdae27c22cd1762","Frozen-v40 policy","v40 freeze","HISTORICAL","Useful oracle policy, not current implementation"
