gate,result,evidence
TASK_CONTRACT_IDENTITY,PASS,945FB65A0FA4407D9E00E076F688153AC5FD320D1DC47B8E4F4AFED8E5F650A6
SCAN0_AUTHORITY,PASS,b8df33bf813b6e48c757219f27bd4f10b1e8e8c8
SCAN1_AUTHORITY,PASS,aafd8cc28cbb6035502ccc3de22ccf33b3964f30
REFERENCE_SOURCE_IDENTITY,PASS,081ebbff9a2722d47acf16c680594be43cb179e2
REFERENCE_SLICE_CONTEXT,PASS,neighbor Bank5/0x05=0xA4 inseparable
AUTHORIZED_WRITE_SET,BLOCKED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
COMPLETE_ROLLBACK_AUTHORITY,BLOCKED,Bank5/0x05 not authorized or resolved
SOURCE_IMPLEMENTATION,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
SIMULATION_44_OF_44,NOT_REACHED,0/44
BUILD_SIGNOFF,NOT_REACHED,ACQ1_COMPAT0_SLICE_ACTION_EXCEEDS_AUTHORIZED_WRITE_SET
HARDWARE_ACTIVATION,NOT_REACHED,no DUT contact
PHYSICAL_CAMERA_GATE,NOT_REACHED,no Owner action requested
EVIDENCE_PUBLICATION,PASS_ON_COMMIT_PINNED_READBACK,post-commit gate
