Phase,Slot,Family_or_Query,Runtime_s,Budget_s,Status,Notes
"Initialization and structural inventory","all","accepted structural session","234.406","900","PASS","DCP open; timing readiness; object resolution; signature inventory."
"Bounded topology","1","original path scope","33.458","300","PASS","49 paths; max_paths 64 and nworst 7."
"Bounded topology","2","original path scope","0.134","300","PASS","49 paths; max_paths 64 and nworst 7."
"Bounded topology","3","original path scope","0.121","300","PASS","49 paths; max_paths 64 and nworst 7."
"Candidate initialization","all","accepted candidate session","212.223","900","PASS","Fresh serialized continuation after harness failed closed."
"Candidate family","1","normal","27.946","300","PASS","Bounded max_paths 1."
"Candidate family","1","mismatch","0.064","300","PASS","Bounded max_paths 1."
"Candidate family","1","reset","0.066","300","PASS","Bounded max_paths 1."
"Candidate family","2","normal","0.073","300","PASS","Bounded max_paths 1."
"Candidate family","2","mismatch","0.063","300","PASS","Bounded max_paths 1."
"Candidate family","2","reset","0.060","300","PASS","Bounded max_paths 1."
"Candidate family","3","normal","0.062","300","PASS","Bounded max_paths 1."
"Candidate family","3","mismatch","0.065","300","PASS","Bounded max_paths 1."
"Candidate family","3","reset","0.063","300","PASS","Bounded max_paths 1."
"Focused report_timing","1","combined slot scope","0.139","300","PASS","Worst 5.576 ns."
"Focused report_timing","2","combined slot scope","0.139","300","PASS","Worst 5.772 ns."
"Focused report_timing","3","combined slot scope","0.135","300","PASS","Worst 5.729 ns."
"Focused methodology","all","TIMING-32/34/37/38/39","7.633","300","PASS_WITH_DISPOSITION","12 retained unrelated bus-skew warnings; none candidate-attributable."
"Accepted technical evidence","all","structural plus candidate sessions","575.267","NA","PRACTICAL","294.683 plus 280.584 seconds wall time."
"All serialized worker attempts","all","including fail-closed harness corrections","1217.126","NA","DISCLOSED","Five non-overlapping sessions; no global report_bus_skew and no result inferred from failed harness attempts."
