sequence_number,reference_function,reference_source_location,clean_room_action_phase,bank,register,operation_type,write_value_or_mask,preserved_bits,required_initial_value,expected_readback,fixed_delay_ms,condition,reason,included_excluded_decision,rollback_operation,rollback_readback
1,nvp6134_getvideoloss,video.c:1036-1069,SLICE_0x50,ENTRY,0xFF,READ,N/A,NONE,N/A,ENTRY_BANK_CAPTURED,0,CH1 NOVID=1; selected level; stable campaign generation,capture entry bank,INCLUDED,RESTORE_ENTRY_BANK_AT_ACTION_END,ENTRY_BANK_EQUALITY
2,nvp6134_getvideoloss,video.c:1036-1069,SLICE_0x50,0x05,0xFF,BANK_SELECT,0x05,NONE,N/A,BANK_EQUALS_0x05,0,CH1 NOVID=1; selected level; stable campaign generation,select Bank5,INCLUDED,RESTORE_ENTRY_BANK_AT_ACTION_END,ENTRY_BANK_EQUALITY
3,nvp6134_getvideoloss,video.c:1036-1069,SLICE_0x50,0x05,0xFF,READ,N/A,NONE,N/A,0x05,0,CH1 NOVID=1; selected level; stable campaign generation,verify Bank5,INCLUDED,RESTORE_ENTRY_BANK_AT_ACTION_END,ENTRY_BANK_EQUALITY
4,nvp6134_getvideoloss,video.c:1036-1069,SLICE_0x50,0x05,0x08,WRITE,0x50,NONE,CAPTURED_PRE_CAMPAIGN_FULL_BYTE_REQUIRED,0x50,0,CH1 NOVID=1; selected level; stable campaign generation,reference slice level first,INCLUDED,RESTORE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,EXACT_BASELINE_EQUALITY_REQUIRED
5,nvp6134_getvideoloss,video.c:1036-1069,SLICE_0x50,0x05,0x05,WRITE,0xA4,NONE,CAPTURED_PRE_CAMPAIGN_FULL_BYTE_REQUIRED,0xA4,0,CH1 NOVID=1; selected level; stable campaign generation,inseparable reference companion second,INCLUDED,RESTORE_CAPTURED_PRE_CAMPAIGN_FULL_BYTE,EXACT_BASELINE_EQUALITY_REQUIRED
6,nvp6134_getvideoloss,video.c:1036-1069,SLICE_0x50,0x05,0x08,READ,N/A,NONE,N/A,0x50,0,CH1 NOVID=1; selected level; stable campaign generation,forward readback,INCLUDED,RESTORE_ENTRY_BANK_AT_ACTION_END,ENTRY_BANK_EQUALITY
7,nvp6134_getvideoloss,video.c:1036-1069,SLICE_0x50,0x05,0x05,READ,N/A,NONE,N/A,0xA4,0,CH1 NOVID=1; selected level; stable campaign generation,forward readback,INCLUDED,RESTORE_ENTRY_BANK_AT_ACTION_END,ENTRY_BANK_EQUALITY
8,nvp6134_getvideoloss,video.c:1036-1069,SLICE_0x50,ENTRY,0xFF,BANK_SELECT,ENTRY_BANK,NONE,N/A,ENTRY_BANK,0,CH1 NOVID=1; selected level; stable campaign generation,restore entry bank,INCLUDED,RESTORE_ENTRY_BANK_AT_ACTION_END,ENTRY_BANK_EQUALITY
9,nvp6134_getvideoloss,video.c:1036-1069,SLICE_0x50,ENTRY,0xFF,READ,N/A,NONE,N/A,ENTRY_BANK,0,CH1 NOVID=1; selected level; stable campaign generation,verify entry bank,INCLUDED,RESTORE_ENTRY_BANK_AT_ACTION_END,ENTRY_BANK_EQUALITY
10,nvp6134_getvideoloss,video.c:1036-1069,SLICE_0x40,ENTRY,0xFF,READ,N/A,NONE,N/A,ENTRY_BANK_CAPTURED,0,CH1 NOVID=1; selected level; stable campaign generation,capture entry bank,INCLUDED,RESTORE_ENTRY_BANK_AT_ACTION_END,ENTRY_BANK_EQUALITY
11,nvp6134_getvideoloss,video.c:1036-1069,SLICE_0x40,0x05,0xFF,BANK_SELECT,0x05,NONE,N/A,BANK_EQUALS_0x05,0,CH1 NOVID=1; selected level; stable campaign generation,select Bank5,INCLUDED,RESTORE_ENTRY_BANK_AT_ACTION_END,ENTRY_BANK_EQUALITY
