Hierarchy,G2A_LUT,G2B_LUT,Delta_LUT,G2A_FF,G2B_FF,Delta_FF,BRAM_delta,Classification,Candidate_for_removal,Confidence
ahd_capture_top_xdma,18569,21412,2843,20137,23643,3506,4,"TOTAL; comparable post-opt",NO,HIGH
top-local,26,26,0,671,671,0,0,MIXED_NO_INCREMENTAL_COST,NO,HIGH
G2B_ONECH_C2H,0,1990,1990,0,2908,2908,4,MANDATORY_G2B_PRODUCT,NO,HIGH
R1F_FAILED_TXN_LOGGER,104,106,2,81,81,0,0,RTRACK_RESEARCH_DIAGNOSTIC,YES_AFTER_APPROVAL,HIGH
AXI_LITE_HOST_BRIDGE,1793,2164,371,110,110,0,0,"MIXED; mandatory bridge plus flattened router/fanout",PARTIAL_ONLY_AFTER_ABI_PLAN,MEDIUM
CAPTURE_SUBSYSTEM,1171,1157,-14,2561,2561,0,0,QUALIFIED_PRODUCT,NO,HIGH
CONTROL_STATUS_REGS,57,1,-56,65,65,0,0,"MIXED; logic repartitioned into bridge",PARTIAL_ONLY_AFTER_ABI_PLAN,MEDIUM
LIFECYCLE_MONITOR,89,89,0,311,311,0,0,RTRACK_RESET_LINK_OBSERVABILITY,MOVE_TO_RESEARCH_PROFILE_AFTER_APPROVAL,MEDIUM
NVP_AUTOINIT,3227,3135,-92,2247,2247,0,0,"MIXED; R1i functional fix plus embedded telemetry",PARTIAL_ONLY;KEEP_R1I_FIX,HIGH
POST_INIT_TRI_PHASE_PROBE,2104,2092,-12,2934,2934,0,0,RTRACK_RESEARCH_DIAGNOSTIC,MOVE_TO_RESEARCH_PROFILE,HIGH
R1H_MMIO_READ_SERVICE,75,103,28,71,71,0,0,RTRACK_RESEARCH_MMIO,MOVE_OR_COMPATIBILITY_RESPONDER,HIGH
XDMA,9907,10526,619,11066,11664,598,0,MANDATORY_GEN2_X1_C2H_PRODUCT,NO,HIGH
unassigned_shared_reconciliation,16,23,7,20,20,0,0,CROSS_HIERARCHY_LUT_COMBINING,NO,HIGH

