RelativePrivateAddress,CH1_Working_Bank5,CH3_Working_Bank7,CH2_Failing_Bank6,CH4_Failing_Bank8,SequenceRelation,FinalStateRelation,ExactCH1CH3_vs_CH2CH4Pattern,Why,HighImpactClass,Confidence
0x00,0xC0,SYM_B07_00_UNWRITTEN_RESET_DEFAULT,SYM_B06_00_UNWRITTEN_RESET_DEFAULT,SYM_B08_00_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_2_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x01,0x00,SYM_B07_01_UNWRITTEN_RESET_DEFAULT,SYM_B06_01_UNWRITTEN_RESET_DEFAULT,SYM_B08_01_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_3_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x08,0x70,SYM_B07_08_UNWRITTEN_RESET_DEFAULT,SYM_B06_08_UNWRITTEN_RESET_DEFAULT,SYM_B08_08_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_2_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x11,0x04,SYM_B07_11_UNWRITTEN_RESET_DEFAULT,SYM_B06_11_UNWRITTEN_RESET_DEFAULT,SYM_B08_11_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_2_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x1B,0x20,SYM_B07_1B_UNWRITTEN_RESET_DEFAULT,SYM_B06_1B_UNWRITTEN_RESET_DEFAULT,SYM_B08_1B_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x20,0x84,SYM_B07_20_UNWRITTEN_RESET_DEFAULT,SYM_B06_20_UNWRITTEN_RESET_DEFAULT,SYM_B08_20_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x23,0x00,SYM_B07_23_UNWRITTEN_RESET_DEFAULT,SYM_B06_23_UNWRITTEN_RESET_DEFAULT,SYM_B08_23_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x24,0x10,SYM_B07_24_UNWRITTEN_RESET_DEFAULT,SYM_B06_24_UNWRITTEN_RESET_DEFAULT,SYM_B08_24_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x25,0xCA,SYM_B07_25_UNWRITTEN_RESET_DEFAULT,SYM_B06_25_UNWRITTEN_RESET_DEFAULT,SYM_B08_25_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x26,0x30,SYM_B07_26_UNWRITTEN_RESET_DEFAULT,SYM_B06_26_UNWRITTEN_RESET_DEFAULT,SYM_B08_26_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x27,0x57,SYM_B07_27_UNWRITTEN_RESET_DEFAULT,SYM_B06_27_UNWRITTEN_RESET_DEFAULT,SYM_B08_27_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
0x29,0x30,SYM_B07_29_UNWRITTEN_RESET_DEFAULT,SYM_B06_29_UNWRITTEN_RESET_DEFAULT,SYM_B08_29_UNWRITTEN_RESET_DEFAULT,BANK5_HAS_1_WRITES; BANK6_7_8_HAVE_0,UNRESOLVED_SYMBOLIC_FOR_BANK6_7_8,NO,CH3 is in the working cohort but has the same no-write state as CH2 and CH4,NONE_PROVEN_VENDOR_FIELDS_UNPUBLISHED,STRONG_CONFIGURATION_COMPLETENESS_CANDIDATE; NOT_CAUSAL_PROOF
