Campaign,Evidence_Path,Source_Branch,Source_Commit,Hardware_Tested,What_Was_Proven,What_Failed,Only_Planned,Evidence_Completeness,Reuse_Class,Current_Reuse_Relevance
"Phase 3 NVP I2C digital trace R1","v41-phase3-nvp-i2c-digital-trace-r1","functional fd32 / formal c89 / observer patch","fd32fcb65be3f1a59c569874195d1faeaf7d27e9","Artix-7 target; build, hardware and 8,227 read-only MMIO reads","Corrected by erratum: legacy FSM decided NACK while SCL was low after an earlier ACK-like low during SCL-high","Original ACK interpretation was wrong; DMA unexercised","none","Complete trace plus erratum","REFERENCE_ONLY","Causal history supporting qualified-readiness redesign"
"Phase 3 NVP I2C digital trace R2","v41-phase3-nvp-i2c-digital-trace-r2","functional donor plus R2 observer","fd32fcb65be3f1a59c569874195d1faeaf7d27e9 plus patch","Hardware trace captured","SDA stayed high at the correct ACK phase: a real digital NACK","No video; no DMA","none","Complete single trace","REFERENCE_ONLY","Causal evidence only"
"Z8 midpoint experiment","v41-phase3-nvp-i2c-z8-experiment-r1","functional donor plus Z8 patch","fd32fcb65be3f1a59c569874195d1faeaf7d27e9 plus patch","Bitstream programmed/tested","Midpoint sample still observed a valid NACK","No video; proposed timing adjustment insufficient","none","Complete single experiment","SUPERSEDED","Negative causal reference"
"AXI clock measurement","v41-nvp-axi-aclk-lifecycle-measurement-r1","diag/v41-nvp-axi-clock-measure-r1","0af44dee3bc091eaff805704dd5c687eeaa01bbd","Build, bitstream, program, MMIO and hardware measurement","AXI/application clock measured about 62.383 MHz, consistent with 62.5 MHz nominal","NVP: 19 NACK/no video; clock lifecycle inference ambiguous without stopwatch epoch","none","Complete artifacts; incomplete lifecycle inference","REFERENCE_ONLY","Supersedes stale 125 MHz prose"
"I2C 25 kHz paired A/B R1","v41-nvp-i2c-25khz-paired-ab-r1","diag/v41-nvp-i2c-25khz-r1","f007dc172d43d30b02729755e60382f8ce3dbff4","Build/bitstream; functional measurement blocked","Exact 50 kHz-to-25 kHz source delta and bit identity","EOS observer gate blocked functional comparison","Functional recovery measurement","Complete blocker record","SUPERSEDED","Patch-chain starting point and source-delta provenance"
"I2C 25 kHz paired A/B R1b","v41-nvp-i2c-25khz-paired-ab-r1b","diag/v41-nvp-i2c-25khz-r1","f007dc172d43d30b02729755e60382f8ce3dbff4","Programming succeeded; telemetry unavailable","Program procedure","Kernel-30 versus module-vermagic kernel-29 prevented driver use","Scientific comparison","Complete infrastructure-blocker record","REFERENCE_ONLY","Host driver hazard"
"I2C 25 kHz paired A/B R1c","v41-nvp-i2c-25khz-paired-ab-r1c","diag/v41-nvp-i2c-25khz-r1","f007dc172d43d30b02729755e60382f8ce3dbff4","One valid paired hardware sample","25 kHz reduced autoinit NACK from 15 to 8 in the sample","Both arms had no video; explicitly not a pass","Population/long-run study","Complete but single-sample","SUPERSEDED","Retain inherited 25 kHz setting only as part of qualified R1i"
"Address ACK probe 50 kHz vs 25 kHz R1d","v41-nvp-address-ack-probe-50k-vs-25k-r1d","diag/v41-nvp-address-ack-probe-r1d","1beb70536d8e57305813f377a9e2c0e810b0bfc0","No hardware run; synth/place/route/bit and simulation passed","Probe counters/comparison tooling implemented offline","No hardware counts","All planned A/B hardware measurement","Complete offline package; no hardware proof","REUSE_AFTER_REVALIDATION","Optional diagnostic tooling if future R1i regression needs it"
"R1e extended observability","v41-nvp-r1e-extended-observability-r1","diag/v41-nvp-i2c-25khz-r1e-observability","f3d9e5cdcacfb6fdebed5e5fe8b9143ef226aebd","Hardware A/B","Rich MMIO diagnostics; 25 kHz post-init 29/10000 NACK versus autoinit failures","Recovery failed; autoinit 13 vs 15 NACK; no qualified video result","none","Complete","SUPERSEDED","Patch-chain provenance; later R1h/R1i diagnostics replace it"
"R1f phase-complete observability","v41-nvp-r1f-phase-complete-observability","diag/v41-nvp-r1f-phase-complete-observability","225544084dbfcaadb8592fcecc947aa1cec4970e","No hardware","Offline tests passed","Full build blocked by unsupported VHDL-2008 construct","Hardware","Complete failure evidence","SUPERSEDED","Patch-chain provenance only"
"R1g compatibility/observability","v41-nvp-r1g-vhdl-compatibility-and-phase-complete-observability","diag/v41-nvp-r1g-vhdl-compatibility","e112a5addb7ac62700a9a71af81bf368fad0bada","No hardware","Compiler/equivalence fix passed","Placement capacity failed: 30,926 logic LUT vs 20,800 and 44,248 registers vs 41,600","Hardware","Complete failure evidence","SUPERSEDED","Explains BRAM-backed R1h redesign"
"R1h initial BRAM-backed campaign","v41-nvp-r1h-bram-backed-phase-complete-large-sample","diag/v41-nvp-r1h-bram-backed-large-sample","c4f4bfcf577c92c3021d1fe83c05878dd12e001c","No full implementation/hardware","Offline MMIO/sim/OOC BRAM concept passed","False source-order harness assertion stopped full build","Implementation and hardware","Complete blocker evidence","SUPERSEDED","Exact R1h source identity; later R4 is result authority"
"R1h R2 build continuation","v41-nvp-r1h-r2-build-harness-continuation-and-large-sample","same exact R1h branch","c4f4bfcf577c92c3021d1fe83c05878dd12e001c","No route/bit/hardware","Synthesis and memory mapping passed","Conservative 90% LUT gate failed at 19,255 vs 18,720 limit","Route/hardware","Complete","SUPERSEDED","Later R4 completes same source"
"R1h R4 super-fast/large sample","v41-nvp-r1h-r4-super-fast-implementation-and-large-sample","diag/v41-nvp-r1h-bram-backed-large-sample","c4f4bfcf577c92c3021d1fe83c05878dd12e001c","Implementation plus three A/B hardware pairs","Routed timing WNS +0.617/WHS +0.036; BRAM/MMIO diagnostics; later bus availability 90,000/90,000 ACK","All R1h runs failed recovery: 15/8/10 autoinit NACK and no video","none","Strong, complete hardware evidence","REUSE_WITH_R1I_INTEGRATION","Exact control/base for the R1i paired comparison"
"Qualified R1i PoC","v41-nvp-r1i-r2-qualified-poc-hardware-evidence","diag/v41-nvp-r1i-r2-qualified-ack-readiness-poc (ref no longer advertised)","20c3323d79d3896edc586d6db1df7deee60f9e41","R1i A1 versus exact R1h B1 in one frozen same-session comparison","R1i zero autoinit NACK, INIT_ERROR=0, video 24.803727 Hz, SAV about 28124.98/s and post-init 0/10000 each; exact R1h had 4 total NACK, INIT_ERROR and no video","Exact low-level causal submechanism remains inconclusive; no production, DMA or throughput qualification","Multi-board, temperature, voltage, cold-population, long-run and DMA qualification","Complete qualified PoC with explicit limits","REUSE_AS_IS","Authoritative NVP/I2C baseline: THESIS_CONFIRMED, STRONG_PASS, QUALIFIED_POC_BASELINE"
"Warm-reboot/driver salvage series","t4-delayed-warm-reboot-phase2-single-test-2026-08-20; t4-delayed-reboot-salvage-xdma-vivado-forensic-2026-08-20; t4-delayed-reboot-final-salvage-explicit-bash-loader-2026-08-20","formal source/bit with pinned driver","UNKNOWN; evidence publication commits ea56071 / 1c09d1e / 75254bc","Hardware and explicit loader","Formal identity reads and corrected module-load procedure","NVP still 9 NACK/no video; early reboot overlap not sufficient","none","Complete salvage record","REUSE_AFTER_REVALIDATION","Driver/module-loading procedure and environment hazards"
"Reset/clock-domain audit","t4-rca-v41-reset-clock-domain-audit-2026-08-20","formal/functional comparison","UNKNOWN; evidence publication commit c5913d7","Offline only","NVP cone belongs to 62.5 MHz userclk1; no direct user_reset/axi_aresetn into NVP","Exact causal conclusion blocked by missing artifacts/timestamps","Definitive reset causality","Incomplete inference","REFERENCE_ONLY","Clock/reset context"
"ODIV2 route-contention P2","v41-nvp-odiv2-route-contention-p2-r1","proposed experiment","UNKNOWN; evidence publication erratum commit 7adbab1","No qualified hardware","Corrected finding: O/ODIV2 BUFG placement contention","Not proof ODIV2 net was unrouted","Source/bit/hardware qualification","Complete negative/erratum record","REJECT","Do not use as implementation donor"
