Gate,Result,Detail
SOURCE_AUTHORITY,PASS,fc37d815b5d64ef90dfbd99c57ae4cc09567b56f/cdff3ea9d786141ff9bfd46f7099198324604663; tracked clean
TRANSACTION_REPLAY,PASS,840 transactions; deterministic
PRIVATE_BANK_MAPPING,PASS,CH1/2/3/4 -> B5/6/7/8
REGISTER_MATRIX,PASS,37 private relative addresses; unknowns symbolic
SEQUENCE_AND_FINAL_STATE,PASS,complete; no unsupported equality assumed
PARITY_INDEX_AUDIT,PASS,exact defect NOT_PROVEN
ROUTE_MODE_REARM_AUDIT,PASS,NO_REARM_AUTHORITY_FOUND
RUNTIME_LEDGER,PASS,PARTIAL aggregate counter/readback match
RAW_MARKER_OBSERVABILITY,PASS,INSUFFICIENT; extension specified
CORRECTION_CANDIDATE,PASS,not created because proof gate not met
OFFLINE_TESTS,PASS,16/16
OFFLINE_ONLY_BOUNDARY,PASS,no hardware/Vivado/SSOT/META action
