Group,Bank,Register,ChannelScope,Meaning,ReadSafe,ReadSideEffect,WriteUsedByReference,NVP6134CDataSheetPage,NVP6134DataSheetPage,ReferenceFile,ReferenceFunction,CurrentV41Use,HardwareConfirmed,AuthorityClass,Confidence,SCAN1Disposition,InterpretationUnresolved
G0-PRE,0x00,0xA8,ALL_CH_BITS,NOVID pre-bookend,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,42; detailed 63,corresponding Rev0.3 register table or private driver semantic,video.c,nvp6134_getvideoloss,DIAG1_STATUS_READ,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-ID,0x00,0xF4,CHIP,device ID,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,42; detailed 66,corresponding Rev0.3 register table or private driver semantic,nvp6134_drv.c,chip identification,AUTOINIT/DIAG_ID,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-ID,0x00,0xF5,CHIP,revision ID,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,42; detailed 66,corresponding Rev0.3 register table or private driver semantic,nvp6134_drv.c,chip identification,AUTOINIT/DIAG_ID,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-ID,0x00,0x80,CHIP,per-channel register control mask,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,YES,41; detailed 60,corresponding Rev0.3 register table or private driver semantic,video.c,set-channel functions,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-LOCK,0x00,0xA8,CHIP_OR_PACKED_CHANNELS,NOVID live status,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,42;63,corresponding Rev0.3 register table or private driver semantic,video.c,status/output helpers,DIAG1_STATUS_READ,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-LOCK,0x00,0xB0,CHIP_OR_PACKED_CHANNELS,latched/held NOVID status; B0 itself is not a documented clear trigger,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,42;63-64,corresponding Rev0.3 register table or private driver semantic,video.c,status/output helpers,NONE,NO,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-LOCK,0x00,0xE0,CHIP_OR_PACKED_CHANNELS,AGC lock bits,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,42;65,corresponding Rev0.3 register table or private driver semantic,video.c,status/output helpers,DIAG1_STATUS_READ,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-LOCK,0x00,0xE1,CHIP_OR_PACKED_CHANNELS,clamp/comparator lock bits,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,42;65,corresponding Rev0.3 register table or private driver semantic,video.c,status/output helpers,DIAG1_STATUS_READ,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-LOCK,0x00,0xE2,CHIP_OR_PACKED_CHANNELS,horizontal lock bits,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,42;65,corresponding Rev0.3 register table or private driver semantic,video.c,status/output helpers,DIAG1_STATUS_READ,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
G0-LOCK,0x00,0x7A,CHIP_OR_PACKED_CHANNELS,channel 1/2 data-out mode,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,NO_OR_NOT_IN_DETECTION_PATH,40;59,corresponding Rev0.3 register table or private driver semantic,video.c,status/output helpers,DIAG1_CONFIG_VERIFY,NO_NEW_HARDWARE_CONTACT; ACCEPTED_CURRENT_USE_ONLY,NVP6134C_DATASHEET,HIGH,INCLUDE_READ_ONLY,NO
