sequence_number,reference_function,reference_source_location,clean_room_action_phase,bank,register,operation_type,write_value_or_mask,preserved_bits,required_initial_value,expected_readback,fixed_delay_ms,condition,reason,included_excluded_decision,rollback_operation,rollback_readback
1,nvp6134_getvideoloss,video.c:1031-1033,PRELUDE,0x00,0xFF,BANK_SELECT,0x00,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,select Bank0,INCLUDED,NO_REGISTER_ROLLBACK,N/A
2,nvp6134_getvideoloss,video.c:1032,PRELUDE,0x00,0xA8,READ,N/A,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,read NOVID,INCLUDED,NO_REGISTER_ROLLBACK,N/A
3,video_fmt_det,video.c:630,PRELUDE,N/A,N/A,DELAY,N/A,NONE,N/A,OBSERVATION_OR_DECISION,200,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,reference fixed delay,INCLUDED,NO_REGISTER_ROLLBACK,N/A
4,video_fmt_det,video.c:637,RAW_TUPLE,0x05,0xFF,BANK_SELECT,0x05,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,select CH1 private bank,INCLUDED,NO_REGISTER_ROLLBACK,N/A
5,video_fmt_det,video.c:638,RAW_TUPLE,0x05,0xF0,READ,N/A,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,raw format,INCLUDED,NO_REGISTER_ROLLBACK,N/A
6,video_fmt_det,video.c:639,RAW_TUPLE,0x05,0xF2,READ,N/A,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,conversion auxiliary,INCLUDED,NO_REGISTER_ROLLBACK,N/A
7,video_fmt_det,video.c:640,RAW_TUPLE,0x05,0xF3,READ,N/A,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,special-format metric,INCLUDED,NO_REGISTER_ROLLBACK,N/A
8,video_fmt_det,video.c:641,RAW_TUPLE,0x05,0xF4,READ,N/A,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,special-format metric,INCLUDED,NO_REGISTER_ROLLBACK,N/A
9,video_fmt_det,video.c:642,RAW_TUPLE,0x05,0xF5,READ,N/A,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,special-format metric,INCLUDED,NO_REGISTER_ROLLBACK,N/A
10,video_fmt_det,video.c:675,FHD_PRECONDITION,0x00,0xFF,BANK_SELECT,0x00,NONE,N/A,OBSERVATION_OR_DECISION,0,NOVID=0; raw F0=0x31; fresh three-snapshot campaign,select Bank0,INCLUDED,NO_REGISTER_ROLLBACK,N/A
