Source_File,Hierarchy,Functional_Role,G2A_or_G2B,Estimated_LUT,Estimated_FF,Estimated_BRAM,Product_Required,R1i_Required,Rtrack_Required,Diagnostic_Only,Removal_Risk,Notes
ip/v41/xdma_v41_m1.xci,XDMA,"PCIe/XDMA endpoint; Gen2 x1; C2H streaming",G2A_AND_G2B,"MEASURED_G2B_TOTAL:10526; MEASURED_DELTA:+619","MEASURED_G2B_TOTAL:11664; MEASURED_DELTA:+598",0,YES,NO,NO,NO,HIGH,"Post-opt G2A total 9907/11066; unchanged IP identity but C2H activation realizes the delta"
rtl/g2b/v41_g2b_onech_c2h.sv,G2B_ONECH_C2H,"four-slot transport; formatter; AXIS; MMIO; counters; CDC",G2B,"MEASURED_DIRECT:1994; HIERARCHY:1990",MEASURED:2908,MEASURED:4_RAMB36,YES,NO,NO,NO,PROHIBITED,"Direct DCP scope differs by 4 LUT from hierarchy due combining; no research-only cone found"
rtl/g2b/v41_g2b_mmio_router.sv,FLATTENED_IN_AXI_LITE_HOST_BRIDGE,"full-address extension router preserving legacy and G2B windows",G2B,ESTIMATED:20-60,ESTIMATED:0,0,YES,YES,NO,NO,HIGH,"Included in +234 net integration/repartition residual; standalone cost not provable"
rtl/top/ahd_capture_top_xdma.sv,TOP_AND_FLATTENED_INTEGRATION,"G2B instantiation; MMIO routing; C2H connection; existing diagnostic mux",G2A_AND_G2B,ESTIMATED:PART_OF_234_NET,MEASURED_DELTA:0,0,YES,YES,YES,NO,HIGH,"Shared optimization makes file-exact LUT non-additive"
rtl/video/physical_frontend.sv,FLATTENED_TOP,"additive frontend release tap used by G2B admission",G2B,ESTIMATED:0-5,ESTIMATED:0-2,0,YES,NO,NO,NO,HIGH,"Functional status tap; no independently attributable hierarchy"
rtl/v41/axi_lite_host_bridge.sv,AXI_LITE_HOST_BRIDGE,"mandatory AXI-Lite bridge plus diagnostic and G2B fanout",G2A_AND_G2B,"MEASURED_G2B_HIER:2164; DELTA:+371",MEASURED:110,0,YES,YES,YES,NO,HIGH,"Mixed hierarchy; only research decode/fanout may be profile-selected after compatibility approval"
rtl/record/bt656_record_producer.sv,PRODUCER,"qualified legacy record production",G2A_AND_G2B,MEASURED_G2B:687,MEASURED_G2B:1159,0,YES,NO,NO,NO,PROHIBITED,"Post-opt unchanged from G2A"
rtl/record/capture_mailbox.sv,MAILBOX,"qualified capture mailbox",G2A_AND_G2B,MEASURED_G2B:226,MEASURED_G2B:809,0,YES,NO,NO,NO,PROHIBITED,"G2A 257 LUT; movement is optimization repartition"
rtl/pio/pio_bar_target.sv,BAR_TARGET,"qualified PIO/BAR target",G2A_AND_G2B,MEASURED_G2B:148,MEASURED_G2B:259,0,YES,NO,NO,NO,PROHIBITED,"G2A 190 LUT; movement is optimization repartition"
rtl/video/video_capture.sv,CAPTURE_SUBSYSTEM_DIRECT,"physical video/capture integration",G2A_AND_G2B,MEASURED_G2B:94,MEASURED_G2B:322,MEASURED_AGGREGATE:2_RAMB36,YES,NO,NO,NO,PROHIBITED,"Capture aggregate is 1157 LUT/2561 FF/2 RAMB36"
