case,variant,log_sha256,failure_diagnostic_count,result
vhdl_autoinit,reference,AE7F7D6E47A7BFE34B9F866673F481222941C7772093C79907BBA3066A55E1AA,0,PASS
vhdl_autoinit,candidate,EDE386CA15F8A797F596E2B5B6F78EA381953276597BD392747D6CB42E88E801,0,PASS
vhdl_d2b,reference,D653259FCF287FC9F53CD6065264090DE26AA9CFCE47D319B99290BAF1A1C47A,0,PASS
vhdl_d2b,candidate,F3192F5AD5F173EDCABAC4C4CE51E74F48567285DD0B7F3C7C678A060B551A69,0,PASS
vhdl_d2b_table,reference,6CDE845009DB0D5CB9AD6D43AA4CFF93F7B6DAB824B14DC4241D51D94C1DABF1,0,PASS
vhdl_d2b_table,candidate,6F454BA9AB74EFC855E240B6D7C56D44D23EFB28B5F5EC668F8BC14CAB299D00,0,PASS
vhdl_power,reference,F539F5E583713B6B6D57109E769B93E6F7545F1ACCE1E340A4BCFD7789AEB971,0,PASS
vhdl_power,candidate,1BD41179C04B5E5C78D4ABB73EF1DB181C1F9CCE22344F396FC39D4241C5D91B,0,PASS
vhdl_serial,reference,12B5BC4D245A18ED0182DF792C8E994B7F1FCC248D09B4B7D1DC63668D028CB6,0,PASS
vhdl_serial,candidate,5DC2354F916648B74CF07564A2329354986C12F4D18639BC5D838DA4AA244C4B,0,PASS
vhdl_preinit,reference,05333452F4D94869462395FC0D4B6CBC0D5233BF0C120CEB8C5C92D8C0EF8403,0,PASS
vhdl_preinit,candidate,BC927CE4DB941E3FB3021FE02FD2D8BBF66483DFFBBCCDDBDCDB50A3F8C81FC6,0,PASS
probe_pair,paired,D8440A7A5A5F50764F04D7F21246069B1005F4BDCAC5C9DB783C3FCE7E178BAF,0,PASS
probe_main,candidate,A49D7F72F6320BE399188A5ACF7BFF71CB7AC3F28007D8ED1F91FFA992AEDE04,0,PASS
probe_abort_restore,candidate,B911DC1F5A87D6C35865E337B365175FEE8DAAF878186AB122A9CC56532FA4E7,0,PASS
probe_timeout,candidate,5785680EDE5F3D557D8EB51E1E65838E5CEC1743D2DFA094839F5596814522DC,0,PASS
probe_attempt_limit,candidate,E1C9F9EDE04227E82C183667C895588F4EB3DD8C82A367F9811CDA86784C0DB2,0,PASS
probe_secondary_restore,candidate,5C34BA7B0D6A567BB976F0A86CBCA6211997560D01627569A2AE450341037745,0,PASS
probe_index_overflow,candidate,078718F44AC8ABEA2C0AA30E68115E190C10B60A1EEC4D1321F0834078FA4917,0,PASS
probe_idle_timeout,candidate,E4F8A4DBDC90A08454828F6F58AAB1757B76511ECBD5A7E113D77B86A73BDE29,0,PASS
probe_production_timing,candidate,27AC9B4AB2CA92CCFFECFC4FBCA12F6B909525B5DBCC5AC9D92FD574030D5A10,0,PASS
probe_store_1536,candidate,5251AA1AD0218791F9BB9D04B05BC87273357D6367F4C0419BB8AA94E79254DC,0,PASS
preinit_arbitration,candidate,1FD768CCA9F7C45CCC3574B4858A461FBA159BCC4C75B26AE9049DBFB01499F6,0,PASS
probe_store_concurrency,candidate,FB0DE6800028E2B67DD3A2699278C7D4F66E1C3B981A44D38899DF45C26E89D2,0,PASS
failed_record_full,candidate,F294D27395B0FF9B5E9666AE2639861A0DE8BB4DE99A789669845CDF48C01017,0,PASS
failed_record_consecutive,candidate,50BEDA2BF68CB94740608C2D2FFE42A866FF8348D6AC848C75A0F31114E8E5C5,0,PASS
mmio_service_reset_coherent,candidate,4479BD039180B0D7EED39A2963DBBF34B7B85BB549DB8D1DD5B6566CBC0D752D,0,PASS
mmio_integration_exhaustive_reset_coherent,candidate,A26C1F98E17F1DB42E1DBB5ABB677AF8626EBE0F71EA100940A2990E7EBD3977,0,PASS
top_elaboration_reset_coherent,candidate,745A14A9AED2D6B102C6FBB2A5CA2533914AA781005F54276AC62E6AE94E85AE,0,PASS
