File,Commit,SymbolOrTable,SourceLine,Purpose,ConfigurationLayer,ChannelScope,BankScope,RegisterScope,ExecutionOrderAuthority
rtl/nvp/nvp6134c_autoinit.vhd,fc37d815b5d64ef90dfbd99c57ae4cc09567b56f,nvp6134c_autoinit,180-205,"freezes AHD1080p25, phase A, CH1, auto-off and enables Marek table",L1 wrapper,ALL,MULTI,profile generics,top-level elaboration
rtl/nvp/nvp6134c_diagnostics_pkg.vhd,fc37d815b5d64ef90dfbd99c57ae4cc09567b56f,c_v38ek_marek_op_for_slot,208-345,fixed legacy/product-compatible table,L1/L2,CH1-private plus globals,"0,1,2,3,5,9,A,11",table words,slot order then stage predicate
rtl/nvp/nvp6134c_diagnostics_pkg.vhd,fc37d815b5d64ef90dfbd99c57ae4cc09567b56f,c_v38ek_overlay_op_for_slot,382-466,AHD1080p25 public all-channel/output overlay,L3,CH1-CH4,"0,1,9",public channel and VDO registers,after Marek table
rtl/nvp/nvp6134c_diagnostics_pkg.vhd,fc37d815b5d64ef90dfbd99c57ae4cc09567b56f,c_v38ek_format_bank,552-563,maps zero-based channel classifier index to Banks5-8,readback mapping,CH1-CH4,"5,6,7,8",0xF0,post-init classifier loop
rtl/nvp/nvp6134c_i2c_bringup.vhd,fc37d815b5d64ef90dfbd99c57ae4cc09567b56f,INIT_BANK_WRITE through PH_RESTORE,972-1116,expands logical banked table into physical I2C writes/readbacks,L1-L3 executor,ALL,MULTI,0xFF plus targets,authoritative physical order
rtl/g2b/g2b_nvp_video_diag.sv,fc37d815b5d64ef90dfbd99c57ae4cc09567b56f,diagnostic scan FSM,581-1070,"PREPARE, BGDCOL, route/status, restore",L4-L7,CH1-CH4,"0,1","0x78,0x79,0xC2,status",runtime FSM order
rtl/v41/nvp_i2c_fixed_master.sv,fc37d815b5d64ef90dfbd99c57ae4cc09567b56f,fixed transaction engine,1-366,bounded whitelisted physical I2C engine,physical engine,ALL,selected bank,transaction pins,one command at a time
rtl/top/ahd_capture_top_xdma.sv,fc37d815b5d64ef90dfbd99c57ae4cc09567b56f,NVP_AUTOINIT and diagnostic ownership mux,"121-151,376-405,632-760",selects unchanged autoinit and diagnostic clients,integration,ALL,MULTI,ownership/control,autoinit then diagnostic handoff
scripts/v41/g2b_build.tcl,fc37d815b5d64ef90dfbd99c57ae4cc09567b56f,BUILD_FLAGS and ENABLE_MAREK_INIT_TABLE,1240-1260,build-time profile/generic authority,elaboration,ALL,N/A,generics,before elaboration
reference:capture_supervisor/src/codec.c,capture-card-fw_ee06d86_source.zip,init_nvp output block,35-253,accepted legacy reference initialization; single-channel Bank5 sequence,REFERENCE_ONLY,CH1,"0,1,2,3,5,9,A,11",C2/C8/CD and private writes,startup only
